"","SUBSTANCENAME","NONPROPRIETARYNAME","NDC_11","PHARM_CLASSES","PRODUCTNDC","NDCPACKAGECODE","PRODUCTID","PRODUCTTYPENAME","PROPRIETARYNAME","PROPRIETARYNAMESUFFIX","DOSAGEFORMNAME","ROUTENAME","STARTMARKETINGDATE","ENDMARKETINGDATE","MARKETINGCATEGORYNAME","APPLICATIONNUMBER","LABELERNAME","ACTIVE_NUMERATOR_STRENGTH","ACTIVE_INGRED_UNIT","DEASCHEDULE","NDC_EXCLUDE_FLAG","LISTING_RECORD_CERTIFIED_THROUGH"
"9672","CLOTRIMAZOLE","Clotrimazole 1%","82442002228","Azole Antifungal [EPC], Azoles [CS]","82442-022","82442-022-28","82442-022_6c785d7a-8921-4ea5-b878-eadfc62258c0","HUMAN OTC DRUG","Up and Up Athletes Foot","","CREAM","TOPICAL","20240801","","OTC MONOGRAPH DRUG","M005","Target Corporation","10","mg/g","","N","20251231"
"9673","PIPERACILLIN SODIUM; TAZOBACTAM SODIUM","piperacillin and tazobactam","82449050002","Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]","82449-500","82449-500-02","82449-500_2858b88c-e86d-6c28-e063-6394a90aad99","HUMAN PRESCRIPTION DRUG","piperacillin and tazobactam","","INJECTION, POWDER, FOR SOLUTION","INTRAVENOUS","20160630","","ANDA","ANDA065458","Steriscience Specialties Private Limited","2; .25","g/10mL; g/10mL","","N","20251231"
"9674","PIPERACILLIN SODIUM; TAZOBACTAM SODIUM","piperacillin and tazobactam","82449050102","Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]","82449-501","82449-501-02","82449-501_2858b88c-e86d-6c28-e063-6394a90aad99","HUMAN PRESCRIPTION DRUG","piperacillin and tazobactam","","INJECTION, POWDER, FOR SOLUTION","INTRAVENOUS","20150814","","ANDA","ANDA065458","Steriscience Specialties Private Limited","3; .375","g/15mL; g/15mL","","N","20251231"
"9675","PIPERACILLIN SODIUM; TAZOBACTAM SODIUM","piperacillin and tazobactam","82449050202","Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]","82449-502","82449-502-02","82449-502_2858b88c-e86d-6c28-e063-6394a90aad99","HUMAN PRESCRIPTION DRUG","piperacillin and tazobactam","","INJECTION, POWDER, FOR SOLUTION","INTRAVENOUS","20160630","","ANDA","ANDA065458","Steriscience Specialties Private Limited","4; .5","g/20mL; g/20mL","","N","20251231"
"9676","NAFCILLIN SODIUM","NAFCILLIN SODIUM","82449050302","Penicillin-class Antibacterial [EPC], Penicillins [CS]","82449-503","82449-503-02","82449-503_07e8b20a-f473-78ed-e063-6394a90a3340","HUMAN PRESCRIPTION DRUG","NAFCILLIN SODIUM","","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","20231017","","ANDA","ANDA200002","Steriscience Specialties Private Limited","1","g/1","","N","20251231"
"9677","NAFCILLIN SODIUM","NAFCILLIN SODIUM","82449050402","Penicillin-class Antibacterial [EPC], Penicillins [CS]","82449-504","82449-504-02","82449-504_07e8b20a-f473-78ed-e063-6394a90a3340","HUMAN PRESCRIPTION DRUG","NAFCILLIN SODIUM","","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","20231017","","ANDA","ANDA200002","Steriscience Specialties Private Limited","2","g/1","","N","20251231"
"9678","OXACILLIN SODIUM","oxacillin","82449050602","Penicillin-class Antibacterial [EPC], Penicillins [CS]","82449-506","82449-506-02","82449-506_28599ecf-4a95-58d2-e063-6394a90a3086","HUMAN PRESCRIPTION DRUG","oxacillin","","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","20220921","","ANDA","ANDA091486","Steriscience Specialties Private Limited","2","g/1","","N","20251231"
"9679","AMPICILLIN SODIUM","Ampicillin","82449051110","Penicillin-class Antibacterial [EPC], Penicillins [CS]","82449-511","82449-511-10","82449-511_fb85df45-6918-776e-e053-6294a90a2aaf","HUMAN PRESCRIPTION DRUG","Ampicillin","","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","20230512","","ANDA","ANDA201025","Steriscience Specialties Private Limited","1","g/1","","N","20251231"
"9680","AMPICILLIN SODIUM","Ampicillin","82449051210","Penicillin-class Antibacterial [EPC], Penicillins [CS]","82449-512","82449-512-10","82449-512_fb85df45-6918-776e-e053-6294a90a2aaf","HUMAN PRESCRIPTION DRUG","Ampicillin","","INJECTION, POWDER, FOR SOLUTION","INTRAVENOUS","20230512","","ANDA","ANDA201025","Steriscience Specialties Private Limited","2","g/1","","N","20251231"
"9681","AMPICILLIN SODIUM; SULBACTAM SODIUM","ampicillin sodium and sulbactam sodium","82449051301","Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]","82449-513","82449-513-01","82449-513_304b3bd5-8c30-a3a7-e063-6394a90a5592","HUMAN PRESCRIPTION DRUG","ampicillin sodium and sulbactam sodium","","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","20230414","","ANDA","ANDA201024","Steriscience Specialties Private Limited","1; .5","g/1; g/1","","N","20261231"
"9682","AMPICILLIN SODIUM; SULBACTAM SODIUM","ampicillin sodium and sulbactam sodium","82449051302","Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]","82449-513","82449-513-02","82449-513_304b3bd5-8c30-a3a7-e063-6394a90a5592","HUMAN PRESCRIPTION DRUG","ampicillin sodium and sulbactam sodium","","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","20230414","","ANDA","ANDA201024","Steriscience Specialties Private Limited","1; .5","g/1; g/1","","N","20261231"
"9683","AMPICILLIN SODIUM; SULBACTAM SODIUM","ampicillin sodium and sulbactam sodium","82449051402","Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]","82449-514","82449-514-02","82449-514_304b3bd5-8c30-a3a7-e063-6394a90a5592","HUMAN PRESCRIPTION DRUG","ampicillin sodium and sulbactam sodium","","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","20230414","","ANDA","ANDA201024","Steriscience Specialties Private Limited","2; 1","g/1; g/1","","N","20261231"
"9684","AMPICILLIN SODIUM; SULBACTAM SODIUM","ampicillin sodium and sulbactam sodium","82449051401","Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]","82449-514","82449-514-01","82449-514_304b3bd5-8c30-a3a7-e063-6394a90a5592","HUMAN PRESCRIPTION DRUG","ampicillin sodium and sulbactam sodium","","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","20230414","","ANDA","ANDA201024","Steriscience Specialties Private Limited","2; 1","g/1; g/1","","N","20261231"
"9685","AMPICILLIN SODIUM","Ampicillin","82449051501","Penicillin-class Antibacterial [EPC], Penicillins [CS]","82449-515","82449-515-01","82449-515_35b4dd5c-331d-f591-e063-6394a90ae874","HUMAN PRESCRIPTION DRUG","Ampicillin","","INJECTION, POWDER, FOR SOLUTION","INTRAVENOUS","20250501","","ANDA","ANDA202198","Steriscience Specialties Private Limited","10","g/1","","N","20261231"
"9686","AMPICILLIN SODIUM; SULBACTAM SODIUM","ampicillin sodium, sulbactam sodium","82449051601","Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]","82449-516","82449-516-01","82449-516_35b3155e-7531-3779-e063-6394a90a4929","HUMAN PRESCRIPTION DRUG","Ampicillin Sodium and Sulbactam Sodium","","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","20250501","","ANDA","ANDA202197","STERISCIENCE SPECIALTIES PRIVATE LIMITED","10; 5","g/15g; g/15g","","N","20261231"
"9687","AMPICILLIN SODIUM","Ampicillin","82449090210","Penicillin-class Antibacterial [EPC], Penicillins [CS]","82449-902","82449-902-10","82449-902_fb85df45-6918-776e-e053-6294a90a2aaf","HUMAN PRESCRIPTION DRUG","Ampicillin","","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","20230512","","ANDA","ANDA201025","Steriscience Specialties Private Limited","250","mg/1","","N","20251231"
"9688","AMPICILLIN SODIUM","Ampicillin","82449090310","Penicillin-class Antibacterial [EPC], Penicillins [CS]","82449-903","82449-903-10","82449-903_fb85df45-6918-776e-e053-6294a90a2aaf","HUMAN PRESCRIPTION DRUG","Ampicillin","","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","20230512","","ANDA","ANDA201025","Steriscience Specialties Private Limited","500","mg/1","","N","20251231"
"9689","CLOTRIMAZOLE","CLOTRIMAZOLE","82460034400","Azole Antifungal [EPC], Azoles [CS]","82460-344","82460-344-00","82460-344_09e32c60-2b51-0226-e063-6294a90a6a2f","HUMAN OTC DRUG","SIMPLY VITAL Antifungal Cream","","CREAM","TOPICAL","20220725","","OTC MONOGRAPH DRUG","M005","ALPHA PLANTS INC","10","mg/mL","","N","20251231"
"9690","AZITHROMYCIN MONOHYDRATE","azithromycin monohydrate","82584030702","Macrolide Antimicrobial [EPC], Macrolides [CS]","82584-307","82584-307-02","82584-307_1e292167-581f-b1db-e063-6394a90ae8a1","HUMAN PRESCRIPTION DRUG","AZASITE","","SOLUTION/ DROPS","OPHTHALMIC","20221101","","NDA","NDA050810","Thea Pharma Inc.","10","mg/mL","","N","20251231"
"9691","AZITHROMYCIN MONOHYDRATE","azithromycin monohydrate","82584030703","Macrolide Antimicrobial [EPC], Macrolides [CS]","82584-307","82584-307-03","82584-307_1e292167-581f-b1db-e063-6394a90ae8a1","HUMAN PRESCRIPTION DRUG","AZASITE","","SOLUTION/ DROPS","OPHTHALMIC","20221101","","NDA","NDA050810","Thea Pharma Inc.","10","mg/mL","","N","20251231"
"9692","HYDROXYCHLOROQUINE SULFATE","hydroxychloroquine sulfate","82619013101","Antimalarial [EPC], Antirheumatic Agent [EPC]","82619-131","82619-131-01","82619-131_fe07b47d-8835-473f-a233-2c8cddbd1aa0","HUMAN PRESCRIPTION DRUG","HYDROXYCHLOROQUINE SULFATE","","TABLET","ORAL","20250508","","ANDA","ANDA040150","Creekwood Pharmaceuticals LLC","200","mg/1","","N","20261231"
"9693","HYDROXYCHLOROQUINE SULFATE","hydroxychloroquine sulfate","82619013102","Antimalarial [EPC], Antirheumatic Agent [EPC]","82619-131","82619-131-02","82619-131_fe07b47d-8835-473f-a233-2c8cddbd1aa0","HUMAN PRESCRIPTION DRUG","HYDROXYCHLOROQUINE SULFATE","","TABLET","ORAL","20250508","","ANDA","ANDA040150","Creekwood Pharmaceuticals LLC","200","mg/1","","N","20261231"
"9694","HYDROXYCHLOROQUINE SULFATE","hydroxychloroquine sulfate","82619013103","Antimalarial [EPC], Antirheumatic Agent [EPC]","82619-131","82619-131-03","82619-131_fe07b47d-8835-473f-a233-2c8cddbd1aa0","HUMAN PRESCRIPTION DRUG","HYDROXYCHLOROQUINE SULFATE","","TABLET","ORAL","20250508","","ANDA","ANDA040150","Creekwood Pharmaceuticals LLC","200","mg/1","","N","20261231"
"9695","TETRACYCLINE HYDROCHLORIDE","Tetracycline Hydrochloride","82644008760","Tetracycline-class Antimicrobial [EPC], Tetracyclines [CS]","82644-087","82644-087-60","82644-087_3d44a562-4fde-4867-90e6-433ea752bb3c","HUMAN PRESCRIPTION DRUG","Tetracycline Hydrochloride","","TABLET, FILM COATED","ORAL","20240119","","ANDA","ANDA061147","Pharmaka Generics Inc.","250","mg/1","","N","20251231"
"9696","TETRACYCLINE HYDROCHLORIDE","Tetracycline Hydrochloride","82644087060","Tetracycline-class Antimicrobial [EPC], Tetracyclines [CS]","82644-870","82644-870-60","82644-870_3d44a562-4fde-4867-90e6-433ea752bb3c","HUMAN PRESCRIPTION DRUG","Tetracycline Hydrochloride","","TABLET, FILM COATED","ORAL","20240119","","ANDA","ANDA061147","Pharmaka Generics Inc.","500","mg/1","","N","20251231"
"9697","DEXAMETHASONE; TOBRAMYCIN","tobramycin / dexamethasone","82667001105","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]","82667-011","82667-011-05","82667-011_31ba978f-7bc8-031f-e063-6394a90ae09c","HUMAN PRESCRIPTION DRUG","Tobradex ST","","SUSPENSION/ DROPS","OPHTHALMIC","20250331","","NDA","NDA050818","Harrow Eye, LLC",".5; 3","mg/mL; mg/mL","","N","20261231"
"9698","DEXAMETHASONE; TOBRAMYCIN","tobramycin / dexamethasone","82667001100","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]","82667-011","82667-011-00","82667-011_31ba978f-7bc8-031f-e063-6394a90ae09c","HUMAN PRESCRIPTION DRUG","Tobradex ST","","SUSPENSION/ DROPS","OPHTHALMIC","20250331","","NDA","NDA050818","Harrow Eye, LLC",".5; 3","mg/mL; mg/mL","","N","20261231"
"9699","NATAMYCIN","natamycin","82667001205","Polyene Antimicrobial [EPC], Polyenes [CS]","82667-012","82667-012-05","82667-012_20ed3cfd-08c8-0392-e063-6294a90a7c0b","HUMAN PRESCRIPTION DRUG","NATACYN","","SUSPENSION/ DROPS","OPHTHALMIC","20241101","","NDA","NDA050514","Harrow Eye, LLC","50","mg/mL","","N","20251231"
"9700","DEXAMETHASONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE","neomycin sulfate, polymyxin b sulfate and dexamethasone","82667010005","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]","82667-100","82667-100-05","82667-100_27b3b360-0ac4-66d0-e063-6394a90a4c21","HUMAN PRESCRIPTION DRUG","Maxitrol","","SUSPENSION","OPHTHALMIC","19641115","","NDA","NDA050023","Harrow Eye, LLC","1; 3.5; 10000","mg/mL; mg/mL; [USP'U]/mL","","N","20251231"
"9701","MOXIFLOXACIN HYDROCHLORIDE","moxifloxacin hydrochloride","82667070003","Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]","82667-700","82667-700-03","82667-700_12053b08-7e67-c6f3-e063-6394a90a9cd9","HUMAN PRESCRIPTION DRUG","VIGAMOX","","SOLUTION/ DROPS","OPHTHALMIC","20240701","","NDA","NDA021598","Harrow Eye, LLC","5","mg/mL","","N","20251231"
"9702","CLOTRIMAZOLE","Antifungal Soap","82739001901","Azole Antifungal [EPC], Azoles [CS]","82739-019","82739-019-01","82739-019_1b1225df-9c5a-41a1-e063-6394a90a860f","HUMAN OTC DRUG","RoyceDerm Tea Tree Oil Antifungal Soap.","","SOAP","TOPICAL","20240617","","OTC MONOGRAPH DRUG","M005","Shenzhen Situya Trading Co., Ltd.","1","g/100g","","N","20251231"
"9703","AMOXICILLIN; CLAVULANATE POTASSIUM","Amoxicillin and Clavulanate Potassium","82804001712","Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]","82804-017","82804-017-12","82804-017_e05caabb-b95c-4e54-890e-bbc371a20fc3","HUMAN PRESCRIPTION DRUG","Amoxicillin and Clavulanate Potassium","","POWDER, FOR SUSPENSION","ORAL","20111220","","ANDA","ANDA201091","Proficient Rx LP","600; 42.9","mg/5mL; mg/5mL","","N","20251231"
"9704","FLUCONAZOLE","Fluconazole","82804003060","Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]","82804-030","82804-030-60","82804-030_fc4fccd8-19d2-4704-afa9-9ce0ab1d2b5f","HUMAN PRESCRIPTION DRUG","Fluconazole","","TABLET","ORAL","20081007","","ANDA","ANDA077731","Proficient Rx LP","200","mg/1","","N","20251231"
"9705","FLUCONAZOLE","Fluconazole","82804003090","Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]","82804-030","82804-030-90","82804-030_fc4fccd8-19d2-4704-afa9-9ce0ab1d2b5f","HUMAN PRESCRIPTION DRUG","Fluconazole","","TABLET","ORAL","20081007","","ANDA","ANDA077731","Proficient Rx LP","200","mg/1","","N","20251231"
"9706","FLUCONAZOLE","Fluconazole","82804003030","Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]","82804-030","82804-030-30","82804-030_fc4fccd8-19d2-4704-afa9-9ce0ab1d2b5f","HUMAN PRESCRIPTION DRUG","Fluconazole","","TABLET","ORAL","20081007","","ANDA","ANDA077731","Proficient Rx LP","200","mg/1","","N","20251231"
"9707","NYSTATIN","Nystatin","82804004515","Polyene Antifungal [EPC], Polyenes [CS]","82804-045","82804-045-15","82804-045_8566c432-741f-4af7-91d7-1b7668ce5e95","HUMAN PRESCRIPTION DRUG","Nystatin","","CREAM","TOPICAL","20190724","","ANDA","ANDA212557","Proficient Rx LP","100000","U/g","","N","20251231"
"9708","NYSTATIN","Nystatin","82804004530","Polyene Antifungal [EPC], Polyenes [CS]","82804-045","82804-045-30","82804-045_8566c432-741f-4af7-91d7-1b7668ce5e95","HUMAN PRESCRIPTION DRUG","Nystatin","","CREAM","TOPICAL","20190724","","ANDA","ANDA212557","Proficient Rx LP","100000","U/g","","N","20251231"
"9709","MOXIFLOXACIN HYDROCHLORIDE","MOXIFLOXACIN","82804005503","Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]","82804-055","82804-055-03","82804-055_c38e051f-5765-4066-9953-2d0832481b1e","HUMAN PRESCRIPTION DRUG","MOXIFLOXACIN","","SOLUTION/ DROPS","OPHTHALMIC","20171004","","ANDA","ANDA206242","Proficient Rx LP","5","mg/mL","","N","20251231"
"9710","AMOXICILLIN; CLAVULANATE POTASSIUM","amoxicillin and clavulanate potassium","82804006020","Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]","82804-060","82804-060-20","82804-060_0d40bc70-8f47-48c2-a7c6-ba7db9cace74","HUMAN PRESCRIPTION DRUG","AMOXICILLIN AND CLAVULANATE POTASSIUM","","TABLET, COATED","ORAL","20221121","","NDA AUTHORIZED GENERIC","NDA050720","Proficient Rx LP","875; 125","mg/1; mg/1","","N","20251231"
"9711","OFLOXACIN","ofloxacin otic","82804006105","Quinolone Antimicrobial [EPC], Quinolones [CS]","82804-061","82804-061-05","82804-061_54900137-8062-44cc-9505-3d65dedc8a16","HUMAN PRESCRIPTION DRUG","ofloxacin","","SOLUTION","AURICULAR (OTIC)","20220715","","ANDA","ANDA216130","Proficient Rx LP","3","mg/mL","","N","20251231"
"9712","CEFTRIAXONE SODIUM","Ceftriaxone Sodium","82804006601","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","82804-066","82804-066-01","82804-066_790279d4-2456-4091-abec-960b78885432","HUMAN PRESCRIPTION DRUG","Ceftriaxone Sodium","","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","20170630","","ANDA","ANDA203702","Proficient Rx LP","500","mg/1","","N","20251231"
"9713","CEFTRIAXONE SODIUM","Ceftriaxone Sodium","82804006610","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","82804-066","82804-066-10","82804-066_790279d4-2456-4091-abec-960b78885432","HUMAN PRESCRIPTION DRUG","Ceftriaxone Sodium","","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","20170630","","ANDA","ANDA203702","Proficient Rx LP","500","mg/1","","N","20251231"
"9714","CLARITHROMYCIN","Clarithromycin","82804006920","Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]","82804-069","82804-069-20","82804-069_28f60574-4ecd-441c-aebe-5b1d18033ef6","HUMAN PRESCRIPTION DRUG","Clarithromycin","","TABLET","ORAL","20050825","","ANDA","ANDA065136","Proficient Rx LP","500","mg/1","","N","20251231"
"9715","CLARITHROMYCIN","Clarithromycin","82804006930","Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]","82804-069","82804-069-30","82804-069_28f60574-4ecd-441c-aebe-5b1d18033ef6","HUMAN PRESCRIPTION DRUG","Clarithromycin","","TABLET","ORAL","20050825","","ANDA","ANDA065136","Proficient Rx LP","500","mg/1","","N","20251231"
"9716","CLARITHROMYCIN","Clarithromycin","82804006990","Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]","82804-069","82804-069-90","82804-069_28f60574-4ecd-441c-aebe-5b1d18033ef6","HUMAN PRESCRIPTION DRUG","Clarithromycin","","TABLET","ORAL","20050825","","ANDA","ANDA065136","Proficient Rx LP","500","mg/1","","N","20251231"
"9717","CLARITHROMYCIN","Clarithromycin","82804006960","Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]","82804-069","82804-069-60","82804-069_28f60574-4ecd-441c-aebe-5b1d18033ef6","HUMAN PRESCRIPTION DRUG","Clarithromycin","","TABLET","ORAL","20050825","","ANDA","ANDA065136","Proficient Rx LP","500","mg/1","","N","20251231"
"9718","KETOCONAZOLE","Ketoconazole Cream, 2%","82804009115","Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 3A4 Inhibitors [MoA], Cytochrome P450 3A5 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]","82804-091","82804-091-15","82804-091_36e0bdcb-845c-452f-ad5a-a116ad657a3a","HUMAN PRESCRIPTION DRUG","Ketoconazole","","CREAM","TOPICAL","20210527","","ANDA","ANDA212443","Proficient Rx LP","20","mg/g","","N","20251231"
"9719","OFLOXACIN","ofloxacin","82804010105","Quinolone Antimicrobial [EPC], Quinolones [CS]","82804-101","82804-101-05","82804-101_0c4e0b81-a344-4678-97d2-b15dc2857882","HUMAN PRESCRIPTION DRUG","ofloxacin","","SOLUTION/ DROPS","OPHTHALMIC","20221207","","ANDA","ANDA215886","Proficient Rx LP","3","mg/mL","","N","20251231"
"9720","CEPHALEXIN","Cephalexin","82804010615","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","82804-106","82804-106-15","82804-106_88347743-e869-4266-835f-599e7c957d00","HUMAN PRESCRIPTION DRUG","Cephalexin","","CAPSULE","ORAL","20051116","","ANDA","ANDA065253","Proficient Rx LP","500","mg/1","","N","20251231"
"9721","CEPHALEXIN","Cephalexin","82804010620","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","82804-106","82804-106-20","82804-106_88347743-e869-4266-835f-599e7c957d00","HUMAN PRESCRIPTION DRUG","Cephalexin","","CAPSULE","ORAL","20051116","","ANDA","ANDA065253","Proficient Rx LP","500","mg/1","","N","20251231"
"9722","CEPHALEXIN","Cephalexin","82804010628","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","82804-106","82804-106-28","82804-106_88347743-e869-4266-835f-599e7c957d00","HUMAN PRESCRIPTION DRUG","Cephalexin","","CAPSULE","ORAL","20051116","","ANDA","ANDA065253","Proficient Rx LP","500","mg/1","","N","20251231"
"9723","CEPHALEXIN","Cephalexin","82804010614","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","82804-106","82804-106-14","82804-106_88347743-e869-4266-835f-599e7c957d00","HUMAN PRESCRIPTION DRUG","Cephalexin","","CAPSULE","ORAL","20051116","","ANDA","ANDA065253","Proficient Rx LP","500","mg/1","","N","20251231"
"9724","CEPHALEXIN","Cephalexin","82804010640","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","82804-106","82804-106-40","82804-106_88347743-e869-4266-835f-599e7c957d00","HUMAN PRESCRIPTION DRUG","Cephalexin","","CAPSULE","ORAL","20051116","","ANDA","ANDA065253","Proficient Rx LP","500","mg/1","","N","20251231"
"9725","CEPHALEXIN","Cephalexin","82804010630","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]","82804-106","82804-106-30","82804-106_88347743-e869-4266-835f-599e7c957d00","HUMAN PRESCRIPTION DRUG","Cephalexin","","CAPSULE","ORAL","20051116","","ANDA","ANDA065253","Proficient Rx LP","500","mg/1","","N","20251231"
"9726","NITROFURANTOIN; NITROFURANTOIN MONOHYDRATE","Nitrofurantoin (monohydrate/macrocrystals)","82804011510","Nitrofuran Antibacterial [EPC], Nitrofuran Antibacterial [EPC], Nitrofurans [CS], Nitrofurans [CS]","82804-115","82804-115-10","82804-115_ad3c1b1b-ca8b-4976-aba5-aed2f338dd92","HUMAN PRESCRIPTION DRUG","Nitrofurantoin (monohydrate/macrocrystals)","","CAPSULE","ORAL","20230914","","ANDA","ANDA217357","Proficient Rx LP","25; 75","mg/1; mg/1","","N","20251231"
"9727","NITROFURANTOIN; NITROFURANTOIN MONOHYDRATE","Nitrofurantoin (monohydrate/macrocrystals)","82804011520","Nitrofuran Antibacterial [EPC], Nitrofuran Antibacterial [EPC], Nitrofurans [CS], Nitrofurans [CS]","82804-115","82804-115-20","82804-115_ad3c1b1b-ca8b-4976-aba5-aed2f338dd92","HUMAN PRESCRIPTION DRUG","Nitrofurantoin (monohydrate/macrocrystals)","","CAPSULE","ORAL","20230914","","ANDA","ANDA217357","Proficient Rx LP","25; 75","mg/1; mg/1","","N","20251231"
"9728","NITROFURANTOIN; NITROFURANTOIN MONOHYDRATE","Nitrofurantoin (monohydrate/macrocrystals)","82804011514","Nitrofuran Antibacterial [EPC], Nitrofuran Antibacterial [EPC], Nitrofurans [CS], Nitrofurans [CS]","82804-115","82804-115-14","82804-115_ad3c1b1b-ca8b-4976-aba5-aed2f338dd92","HUMAN PRESCRIPTION DRUG","Nitrofurantoin (monohydrate/macrocrystals)","","CAPSULE","ORAL","20230914","","ANDA","ANDA217357","Proficient Rx LP","25; 75","mg/1; mg/1","","N","20251231"
"9729","CIPROFLOXACIN HYDROCHLORIDE","Ciprofolxacin","82804013006","Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]","82804-130","82804-130-06","82804-130_ee0e72c6-18ff-4219-b067-26578a27ce79","HUMAN PRESCRIPTION DRUG","Ciprofloxacin","","TABLET","ORAL","20231001","","ANDA","ANDA208921","Proficient Rx LP","500","mg/1","","N","20261231"
"9730","CIPROFLOXACIN HYDROCHLORIDE","Ciprofolxacin","82804013010","Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]","82804-130","82804-130-10","82804-130_ee0e72c6-18ff-4219-b067-26578a27ce79","HUMAN PRESCRIPTION DRUG","Ciprofloxacin","","TABLET","ORAL","20231001","","ANDA","ANDA208921","Proficient Rx LP","500","mg/1","","N","20261231"
