type;name;label::English;hint::English;relevant;required;notes;appearance;calculation;default;constraint;constraint_message::English;read_only
select_one YES_NO_DK_REF;Id10335;(Id10335) Did she die during an abortion?;;selected(${Id10334}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10336;(Id10336) Did she die within 6 weeks of having an abortion?;;selected(${Id10334}, 'yes');yes;;;;;;;
select_one select_208;Id10337;(Id10337) Where did she give birth?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10338;(Id10338) Did she receive professional assistance during the delivery?;Explain to the respondent what is meant by professional assistance: delivery attended by a medical professional (doctor, nurse or midwife).;;yes;;;;;;;
select_one select_530;Id10339;(Id10339) Who delivered the baby?;;;;;;;;;;
select_one YES_NO_DK_REF;Id10340;(Id10340) Did she have an operation to remove her uterus shortly before death?;;;yes;;;;;;;
begin group;deliverytype;How did the mother deliver her baby?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10342;(Id10342) Was the delivery normal vaginal, without forceps or vacuum?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10343;(Id10343) Was the delivery vaginal, with forceps or vacuum?;;not(selected(${Id10342}, 'yes'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10344;(Id10344) Was the delivery a Caesarean section?;;not(selected(${Id10342}, 'yes')) and not(selected(${Id10343}, 'yes'));yes;;;;;;;
end group;;;;;;;;;;;;
end group;;;;;;;;;;;;
end group;;;;;;;;;;;;
select_one YES_NO_DK_REF;Id10347;(Id10347) Was the baby born more than one month early?;;((selected(${isAdult}, '1') and not(selected(${Id10310}, 'yes'))) and (${Id10019} = 'female') or ${Id10019}='undetermined');yes;;;;;;;
begin group;neonatal_child;Neonatal and child history, signs and symptoms;;;;;;;;;;
select_one units_4;Id10352_units;(Id10352_units) How old was the child when the fatal illness started?;Enter 1 unit only: 1-11 months or 1-11 years.;(selected(${isChild}, '1'));yes;;;;;;;
integer;Id10352_a;(Id10352_a) [Enter how old the child was  when the fatal illness started in months]:;Enter 1-11 months.;${Id10352_units}='months';yes;;;;;(.>=0 and .<=11) ;If response was greater than 11 months, ask respondent to report time in years;
integer;Id10352_b;(Id10352_b) [Enter how old the child was  when the fatal illness started in years]:;Enter 1-11 years;${Id10352_units}='years';yes;;;;;.>=1 and .<=${ageInYears2};Duration entered exceeds age at death.;
calculate;Id10352;(Id10352) How many years old was the child when the fatal illness started?;;(selected(${isChild}, '1'));;;;if(${Id10352_units}='months', ${Id10352_a} div 12,${Id10352_b});;;;
begin group;neonatal_childA;Neonatal child questions part A;;(selected(${isNeonatal}, '1') or selected(${isChild}, '1'));;;;;;;;
select_one YES_NO_DK_REF;Id10354;(Id10354) Was the child part of a multiple  birth?;This question should be asked only if the child was less than 1 year old when it died. If two or more children are born at the same time, it is counted as a multiple birth, even if one or more of the babies are born dead.;selected(${isNeonatal}, '1') or (selected(${isChild}, '1') and (${ageInMonthsByYear} = 'NaN' or string-length(${ageInMonthsByYear}) = 0)) or (selected(${isChild}, '1') and ${ageInMonthsByYear} != 'NaN' and string-length(${ageInMonthsByYear}) > 0 and ${ageInMonthsByYear}<12);yes;;;;;;;
select_one select_219;Id10355;(Id10355) Was the child the first, second, or later in the birth order?;This question should be asked only if the child was less than 1 year old when it died. ;selected(${Id10354}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10356;(Id10356) Is the mother still alive?;This question should be asked only if the child was less than 1 year old when it died. If mother is present at the interview, select 'yes' without asking the question aloud.;selected(${isNeonatal}, '1') or (selected(${isChild}, '1') and (${ageInMonthsByYear} = 'NaN' or string-length(${ageInMonthsByYear}) = 0)) or (selected(${isChild}, '1') and ${ageInMonthsByYear} != 'NaN' and string-length(${ageInMonthsByYear}) > 0 and ${ageInMonthsByYear}<12);yes;;;;;;;
select_one select_221;Id10357;(Id10357) Did the mother die before, during or after the delivery?;This question should be asked only if the child was less than 1 year old when it died. ;selected(${Id10356}, 'no');yes;;;;;;;
begin group;moth_death;Time between delivery and death of mother;;selected(${Id10357}, 'after_delivery');;;;;;;;
select_one units_5;Id10358_units;(Id10358_units) How long after the delivery did the mother die?;This question should be asked only if the child was less than 1 year old when it died. ;;yes;;;;;;;
integer;Id10358;(Id10358) How many months after the delivery did the mother die?;Enter 2-60 months.;${Id10358_units}='months';yes;;;;;.>=2 and .<=60;Please enter a value between 2 and 60 months.  If response was greater than 60 months, confirm the response and enter 60.;
integer;Id10359;(Id10359) How many days after the delivery did the mother die?;Enter 0-6 days. Less than 1 day or 24 hours = 0 days.;${Id10358_units}='days';yes;;;;;.>=0 and .<7;If response was greater than 6 days, ask respondent to report time in weeks;
integer;Id10359_a;(Id10359_a) How many weeks after the delivery did the mother die?;Enter 1-7 weeks.;${Id10358_units}='weeks';yes;;;;;.>=1 and .<=7;If response was greater than 7 weeks, ask respondent to report time in months;
end group;;;;;;;;;;;;
select_one select_223;Id10360;(Id10360) Where was the deceased born?;This question should be asked only if the child was less than 1 year old when it died. Read the question and slowly read the first 5 choices.   Respondent should hear all 5 choices and then respond.;selected(${isNeonatal}, '1') or (selected(${isChild}, '1') and (${ageInMonthsByYear} = 'NaN' or string-length(${ageInMonthsByYear}) = 0)) or (selected(${isChild}, '1') and ${ageInMonthsByYear} != 'NaN' and string-length(${ageInMonthsByYear}) > 0 and ${ageInMonthsByYear}<12);yes;;;;;;;
select_one YES_NO_DK_REF;Id10361;(Id10361) Did you/the mother receive professional assistance during the delivery?;This question should be asked only if the child was less than 1 year old when it died. Explain to the respondent what is meant by a professional assistance: delivery attended by a medical professional (doctor, nurse or midwife).;selected(${isNeonatal}, '1') or (selected(${isChild}, '1') and (${ageInMonthsByYear} = 'NaN' or string-length(${ageInMonthsByYear}) = 0)) or (selected(${isChild}, '1') and ${ageInMonthsByYear} != 'NaN' and string-length(${ageInMonthsByYear}) > 0 and ${ageInMonthsByYear}<12);yes;;;;;;;
select_one YES_NO_DK_REF;Id10362;(Id10362) At birth, was the baby of usual size?;"Show photos, explain to the respondent that even if the aswer is ""no"" some more questions will be asked, just to make sure no important detail has been missed.";selected(${isNeonatal}, '1') or (selected(${isChild}, '1') and (${ageInMonthsByYear} = 'NaN' or string-length(${ageInMonthsByYear}) = 0)) or (selected(${isChild}, '1') and ${ageInMonthsByYear} != 'NaN' and string-length(${ageInMonthsByYear}) > 0 and ${ageInMonthsByYear}<12);yes;;;;;;;
select_one YES_NO_DK_REF;Id10363;(Id10363) At birth, was the baby smaller than usual, (weighing under 2.5 kg)?;Show photos if available. This question should be asked only if the child was less than 1 year old when it died. ;(selected(${isNeonatal}, '1') or (selected(${isChild}, '1') and (${ageInMonthsByYear} = 'NaN' or string-length(${ageInMonthsByYear}) = 0)) or (selected(${isChild}, '1') and ${ageInMonthsByYear} != 'NaN' and string-length(${ageInMonthsByYear}) > 0 and ${ageInMonthsByYear}<12)) and ${Id10362}!='yes';yes;;;;;;;
select_one YES_NO_DK_REF;Id10364;(Id10364) At birth, was the baby very much smaller than usual, (weighing under 1 kg)?;Show photos if available. This question should be asked only if the child was less than 1 year old when it died. ;selected(${Id10363}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10365;(Id10365) At birth, was the baby larger than usual, (weighing over 4.5 kg)?;Show photos if available. This question should be asked only if the child was less than 1 year old when it died. ;selected(${Id10363}, 'dk') or selected(${Id10363}, 'no') or selected(${Id10363}, 'ref');yes;;;;;;;
note;id1036X_check;"(id1036X_check) It is not possible to select ""No usual size at Birth"", ""No weighing under 2.5 kg"" and ""No weighing over 4.5 kg"" together. Please go back and correct the selection. ";;(selected(${Id10362}, 'no') and selected(${Id10363}, 'no') and selected(${Id10365}, 'no')) ;yes;;;;;;;
integer;Id10366;(Id10366) What was the weight (in grammes) of the deceased at birth?;" Ask if the child health card is available. If the card is available and the birth weight is recorded, enter the birth weight from the card. If the card is not available, record the weight based on the respondent's report if known. Record the weight in grammes in 4 digits. Respondents may give the answer in kilograms. For the data entry, convert to grammes. 1 kilogram=1,000 grammes. Enter ""9999"" for ""don't know."" Enter ""8888"" for ""refuse.""";;yes;;;;;.>=0 and .<=9999;Please enter a value between 0 and 9999.;
integer;Id10367;(Id10367) How many months long was the pregnancy before the child was born?;"For don't know, enter ""99."" For refused, enter ""88.""";(selected(${isNeonatal}, '1') or selected(${isChild}, '1'));yes;;;;;(.>=0 and .<=11) or .=99 or .=88;Please enter a value between 0 and 11 months.;
select_one YES_NO_DK_REF;Id10368;(Id10368) Were there any complications in the late part of the pregnancy (defined as the last 3 months, before labour)? ;;(selected(${isNeonatal}, '1') or selected(${isChild}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10369;(Id10369) Were there any complications during labour or delivery? ;;(selected(${isNeonatal}, '1') or selected(${isChild}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10370;(Id10370) Was any part of the baby physically abnormal at time of delivery? (for example: body part too large or too small, additional growth on body)?;This question should be asked only if the child was less than 1 year old when it died. ;selected(${isNeonatal}, '1') or (selected(${isChild}, '1') and (${ageInMonthsByYear} = 'NaN' or string-length(${ageInMonthsByYear}) = 0)) or (selected(${isChild}, '1') and ${ageInMonthsByYear} != 'NaN' and string-length(${ageInMonthsByYear}) > 0 and ${ageInMonthsByYear}<12);yes;;;;;;;
select_one YES_NO_DK_REF;Id10371;(Id10371) Did the baby/ child have a swelling or defect on the back at time of birth?;This question should be asked only if the child was less than 1 year old when it died. ;selected(${Id10370}, 'yes') or  selected(${Id10370}, 'dk') or  selected(${Id10370}, 'ref') ;yes;;;;;;;
select_one YES_NO_DK_REF;Id10372;(Id10372) Did the baby/ child have a very large head at time of birth?;This question should be asked only if the child was less than 1 year old when it died. ;selected(${Id10370}, 'yes') or  selected(${Id10370}, 'dk') or  selected(${Id10370}, 'ref') ;yes;;;;;;;
select_one YES_NO_DK_REF;Id10373;(Id10373) Did the baby/ child have a very small head at time of birth?;This question should be asked only if the child was less than 1 year old when it died. ;selected(${Id10372}, 'no') or  selected(${Id10372}, 'dk') or  selected(${Id10372}, 'ref') ;yes;;;;;;;
integer;Id10394;(Id10394) How many births, including stillbirths, did the baby's mother have before this baby?;"For don't know, enter ""99."" For refused, enter ""88.""";${ageInMonthsByYear}<12 or selected(${isNeonatal}, '1');yes;;;;;(.>=0 and .<=20) or .=99 or .=88;Please enter a value between 0 and 20.  If the response is more than 20, confirm the response and enter 20.;
end group;;;;;;;;;;;;
begin group;neonatal_childB;(neonatal_childB) Neonatal child questions part B;;(selected(${isNeonatal}, '1'));;;;;;;;
select_one YES_NO_DK_REF;Id10376;(Id10376) Was the baby moving in the last few days before the birth?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10377;(Id10377) Did the baby stop moving in the womb before labour started?;;;yes;;;;;;;
begin group;babmove;Baby moving;;selected(${Id10377}, 'yes');;;;;;;;
select_one H_D_DK_REF;Id10379_unit;(Id10379_unit) How long before labour did you/the mother last feel the baby move?;Enter 1 unit only: 0-23 hours or 1-60 days. 1 week = 7 days.;;yes;;;;;;;
integer;Id10379;(Id10379) [Enter how long before labour did you/the mother last felt the baby move in days]: (maybe the respondent or health worker had examined the mother);Enter 1-60 days. 1 week = 7 days.;${Id10379_unit}='days';yes;;;;;.>=1 and .<=60;Likely response is under 60 days. If response was greater than 60 days, confirm the response and enter 60.;
integer;Id10380;(Id10380) [Enter how long before labour did you/the mother last felt the baby move in hours]: (maybe the respondent or health worker had examined the mother);Enter 0-23 hours.;${Id10379_unit}='hours';yes;;;;;.>=1 and .<=23;If response was greater than 23 hours, ask respondent to report time in days.;
end group;;;;;;;;;;;;
integer;Id10382;(Id10382) How many hours did labour and delivery take?;"If less than one hour enter 0. For don't know, enter ""99."" For refused, enter ""88.""";;;;;;;.>=0 and .<=99;Please enter a value between 0 and 99.  If response was greater than 98 hours, confirm the response and enter 98.;
select_one YES_NO_DK_REF;Id10383;(Id10383) Was the baby born 24 hours or more after the water broke?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10384;(Id10384) Was the liquor foul smelling?;;;yes;;;;;;;
select_one select_520;Id10385;(Id10385) What was the colour of the liquor when the water broke?;;;yes;;;;;;;
begin group;mother_deliv;(mother_deliv) How was the baby delivered?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10387;(Id10387) Was the delivery normal vaginal, without forceps or vacuum?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10388;(Id10388) Was the delivery vaginal, with forceps or vacuum?;;not(selected(${Id10387}, 'yes'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10389;(Id10389) Was the delivery a Caesarean section?;;not(selected(${Id10387}, 'yes')) and not(selected(${Id10388}, 'yes'));yes;;;;;;;
note;id10389_check;"(id10389_check) It is not possible to select ""No"" to all three previous questions. Please go back and review the answers. ";;selected(${Id10387}, 'no') and selected(${Id10388}, 'no')  and selected(${Id10389}, 'no');yes;;;;;;;
end group;;;;;;;;;;;;
select_one YES_NO_DK_REF;Id10391;(Id10391) Did you/the mother receive any vaccinations since reaching adulthood including during this pregnancy?;;;yes;;;;;;;
integer;Id10392;(Id10392) How many doses?;"For don't know, enter ""99."" For refused, enter ""88.""";selected(${Id10391}, 'yes');yes;;;;;(.>=0 and .<=9) or .=99 or .=88;Please enter a value between 0 and 9.  If the response is more than 9, confirm the response and enter 9.;
select_one YES_NO_DK_REF;Id10393;(Id10393) Did you/the mother receive tetanus toxoid (TT) vaccine?;;selected(${Id10391}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10395;(Id10395) During labour, did the baby's mother suffer from fever?;;;;;;;;;;
select_one YES_NO_DK_REF;Id10396;(Id10396) During the last 3 months of pregnancy, labour or delivery, did you/the baby's mother suffer from high blood pressure?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10397;(Id10397) Did you/the baby's mother have diabetes mellitus?;;;;;;;;;;
select_one YES_NO_DK_REF;Id10398;(Id10398) Did you/the baby's mother have foul smelling vaginal discharge during pregnancy or after delivery?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10399;(Id10399) During the last 3 months of pregnancy, labour or delivery, did you/the baby's mother suffer from convulsions?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10400;(Id10400) During the last 3 months of pregnancy did you/the baby's mother suffer from blurred vision?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10401;(Id10401) Did you/the baby's mother have severe anemia?;;;;;;;;;;
select_one YES_NO_DK_REF;Id10402;(Id10402) Did you/the baby's mother have vaginal bleeding during the last 3 months of pregnancy but before labour started?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10403;(Id10403) Did the baby's bottom, feet, arm or hand come out of the vagina before its head?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10404;(Id10404) Was the umbilical cord wrapped more than once around the neck of the child at birth?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10405;(Id10405) Was the umbilical cord delivered first?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10406;(Id10406) Was the baby blue in colour at birth?;;;yes;;;;;;;
end group;;;;;;;;;;;;
end group;;;;;;;;;;;;
begin group;risk_factors;Risk factors;;(selected(${isAdult}, '1'));;;;;;;;
select_one YES_NO_DK_REF;Id10411;(Id10411) Did (s)he drink alcohol?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10412;(Id10412) Did (s)he use tobacco?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10413;(Id10413) Did (s)he smoke tobacco (cigarette, cigar, pipe, etc.)?;;;yes;;;;;;;
select_one select_306;Id10414;(Id10414) What kind of tobacco did (s)he use ?;;selected(${Id10413}, 'yes') or (selected(${Id10412}, 'yes') and selected(${Id10413}, 'no')) ;yes;;;;;;;
note;id10414_check;"(id10414_check) It is not possible to select cigarettes or pipe and ""no"" to ""Did (s)he smoke tobacco?"". Please go back and correct the selections.";;selected(${Id10413}, 'no') and (selected(${Id10414}, 'cigarettes')  or selected(${Id10414}, 'pipe'));yes;;;;;;;
integer;Id10415;(Id10415) How many cigarettes did (s)he smoke daily?;"For don't know, enter ""99."" For refused, enter ""88.""";selected(${Id10414}, 'cigarettes');yes;;;;;.>=0 and .<=99 ;Please enter a value between 0 and 99. If the response is more than 98, confirm the response and enter 98.;
integer;Id10416;(Id10416) How many times did (s)he use tobacco products each day?;"For don't know, enter ""99."" For refused, enter ""88.""";selected(${Id10414}, 'pipe') or selected(${Id10414}, 'chewing_tobacco') or selected(${Id10414}, 'local_form_of_tobacco') or  selected(${Id10414}, 'other');yes;;;;;.>=0 and .<=99 ;Please enter a value between 0 and 99. If the response is more than 98, confirm the response and enter 98.;
end group;;;;;;;;;;;;
begin group;health_service_utilization;Health service utilisation;;not(selected(${Id10114}, 'yes'));;;;;;;;
select_one YES_NO_DK_REF;Id10418;(Id10418) Did (s)he receive any treatment for the illness that led to death?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10419;(Id10419) Did (s)he receive oral rehydration salts?;;selected(${Id10418}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10420;(Id10420) Did (s)he receive (or need) intravenous fluids (drip) treatment?;;selected(${Id10418}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10421;(Id10421) Did (s)he receive (or need) a blood transfusion?;;selected(${Id10418}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10422;(Id10422) Did (s)he receive (or need) treatment/food through a tube passed through the nose?;;selected(${Id10418}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10423;(Id10423) Did (s)he receive (or need) injectable antibiotics?;;selected(${Id10418}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10424;(Id10424) Did (s)he receive (or need) antiretroviral therapy (ART)?;;selected(${Id10418}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10425;(Id10425) Did (s)he have (or need) an operation for the illness?;;selected(${Id10418}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10426;(Id10426) Did (s)he have the operation within 1 month before death?;;(selected(${Id10418}, 'yes') and ${isNeonatal} !='1') and selected(${Id10425}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10427;(Id10427) Was (s)he discharged from hospital very ill?;;selected(${Id10418}, 'yes') and (selected(${isAdult}, '1') or selected(${isChild}, '1')) ;yes;;;;;;;
select_one YES_NO_DK_REF;Id10428;(Id10428) Did (s)he receive any immunizations?;;(selected(${isNeonatal}, '1') or selected(${isChild}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10429;(Id10429) Do you have the child's vaccination card?;"In some countries, the vaccination card is called the ""Road to Health"" card.";(selected(${isNeonatal}, '1') or selected(${isChild}, '1')) and selected(${Id10428}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10430;(Id10430) Can I see the vaccination card (note the vaccines the child received)?;"Only fill in the vaccination sheet if the respondent has the vaccination card at the present moment during the VA interview; the interviewer should fill in the vaccination sheet, not the respondent.";(selected(${isNeonatal}, '1') or selected(${isChild}, '1')) and selected(${Id10429}, 'yes');yes;;;;;;;
select_multiple select_vaccines;Id10431;(Id10431) Select EPI vaccines done;;(selected(${isNeonatal}, '1') or selected(${isChild}, '1')) and selected(${Id10430}, 'yes');;;;;;;;
note;id10431_check;"(id10431_check) It is not possible to select ""No vaccines"", ""Don't know"" or ""refuse"" together with other options. Please go back and correct the selection. ";;(selected(${Id10431}, 'dk') or selected(${Id10431}, 'ref') or selected(${Id10431}, 'no')) and count-selected(${Id10431})>1;yes;;;;;;;
select_one YES_NO_DK_REF;Id10432;(Id10432) Was care sought outside the home while (s)he had this illness?;;;yes;;;;;;;
select_multiple select_322;Id10433;(Id10433) Where or from whom did you seek care?;;selected(${Id10432}, 'yes');yes;;;;;;;
note;id10433_check;"(id10433_check) It is not possible to select ""Don't know"" or ""refuse"" together with other options. Please go back and correct the selection. ";;(selected(${Id10433}, 'dk') or selected(${Id10433}, 'ref')) and count-selected(${Id10433})>1;yes;;;;;;;
text;Id10434;(Id10434) What was the name and address of any hospital, health center or clinic where care was sought;;selected(${Id10432}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10435;(Id10435) Did a health care worker tell you the cause of death?;;;yes;;;;;;;
text;Id10436;(Id10436) What did the health care worker say?;;selected(${Id10435}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10437;(Id10437) Do you have any health records that belonged to the deceased?;;(selected(${isNeonatal}, '1') or selected(${isAdult}, '1') or (selected(${isChild}, '1') and selected(${Id10432}, 'yes')));yes;;;;;;;
select_one YES_NO_DK_REF;Id10438;(Id10438) Can I see the health records?;;selected(${Id10437}, 'yes');yes;;;;;;;
select_one YES_NO;Id10439_check;(Id10439_check) [Is the date of the most recent (last) visit available?];;selected(${Id10438}, 'yes');yes;;;;;;;
date;Id10439;(Id10439) [Record the date of the most recent (last) visit];;selected(${Id10439_check}, 'yes');yes;;;;;;;
select_one YES_NO;Id10440_check;(Id10440_check) [Is the date of the second most recent visit available?];;(selected(${Id10438}, 'yes') and selected(${isAdult}, '1'));yes;;;;;;;
date;Id10440;(Id10440) [Record the date of the second most recent visit];;(selected(${Id10440_check}, 'yes') and selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO;Id10441_check;(Id10441_check) [Is the date of the last note on the health records available?];;(selected(${Id10438}, 'yes') and selected(${isAdult}, '1'));yes;;;;;;;
date;Id10441;(Id10441) [Record the date of the last note on the health records];;(selected(${Id10441_check}, 'yes') and selected(${isAdult}, '1'));yes;;;;;;;
decimal;Id10442;(Id10442) [Record the weight (in kilogrammes) written at the most recent (last) visit];(enter e.g. 3.5);(selected(${Id10438}, 'yes') and selected(${isAdult}, '1'));yes;;;;;;;
decimal;Id10443;(Id10443) [Record the weight (in kilogrammes) written at the second most recent visit];;(selected(${Id10438}, 'yes') and selected(${isAdult}, '1'));yes;;;;;;;
text;Id10444;(Id10444) [Transcribe the last note on the health records];;(selected(${Id10438}, 'yes') and selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10445;(Id10445) Has the deceased’s (biological) mother ever been tested for HIV?;;((selected(${isNeonatal}, '1')) or (selected(${isChild}, '1') and selected(${Id10432}, 'yes')));yes;;;;;;;
select_one YES_NO_DK_REF;Id10446;(Id10446) Has the deceased’s (biological) mother ever been told she had HIV/AIDS by a health worker?;;((selected(${isNeonatal}, '1')) or (selected(${isChild}, '1') and selected(${Id10432}, 'yes')));yes;;;;;;;
end group;;;;;;;;;;;;
end group;;;;;;;;;;;;
begin group;back_context;Background and context;;;;;;;;;;
select_one YES_NO_DK_REF;Id10450;(Id10450) In the final days before death, did s/he travel to a hospital or health facility?;"Enter ""yes"" if the deceased was a stillbirth delivered in a health facility or a live birth delivered in a health facility that died before leaving the facility.";;yes;;;;;;;
select_one YES_NO_DK_REF;Id10451;(Id10451) Did (s)he use motorised transport to get to the hospital or health facility?;For stillbirths and live births delivered in a health facility, answer based on mother's experience.;selected(${Id10450}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10452;(Id10452) Were there any problems during admission to the hospital or health facility?;For stillbirths and live births delivered in a health facility, answer based on mother's experience.;selected(${Id10450}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10453;(Id10453) Were there any problems with the way (s)he was treated (medical treatment, procedures, interpersonal attitudes, respect, dignity) in the hospital or health facility?;For stillbirths and live births delivered in a health facility, answer based on mother's experience.;selected(${Id10450}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10454;(Id10454) Were there any problems getting medications or diagnostic tests in the hospital or health facility?;For stillbirths, answer based on mother's experience.;selected(${Id10450}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10455;(Id10455) Does it take more than 2 hours to get to the nearest hospital or health facility from the deceased's household?;For stillbirths and live births delivered in a health facility that died before leaving the facility, answer based on mother's experience.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10456;(Id10456) In the final days before death, were there any doubts about whether medical care was needed?;For stillbirths answer based on mother's experience.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10457;(Id10457) In the final days before death, was traditional medicine used?;For stillbirths answer based on mother's experience.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10458;(Id10458) In the final days before death, did anyone use a telephone or cell phone to call for help?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10459;(Id10459) Over the course of illness, did the total costs of care and treatment prohibit other household payments?;;;yes;;;;;;;
end group;;;;;;;;;;;;
begin group;deathcert;Death certificate with cause of death;;;;;;;;;;
select_one YES_NO_DK_REF;Id10462;(Id10462) Was a death certificate issued?;The following information serves only to complete cause of death information in some environments. In routine CRVS this information could be skipped in the interview, and information be collected from other sources, if available.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10463;(Id10463) Can I see the death certificate?;"This section aims to collect information from the international standard medical certificate of cause of death. This level of detail may or may not be present in the death certificate issued to the family. If this detail is not present, record ""-” (not available) for Id10464-Id10473.";selected(${Id10462}, 'yes');yes;;;;;;;
text;Id10464;(Id10464) [Record the immediate cause of death from the certificate (line 1a)];;selected(${Id10463}, 'yes');yes;;;;;;;
text;Id10465;(Id10465) [Duration (Ia):];For all following lines, add duration, if stated.;selected(${Id10463}, 'yes');;;;;;;;
text;Id10466;(Id10466) [Record the first antecedent cause of death from the certificate  (line 1b)];An antecedent cause is the one that caused the one on the line above, e.g. diabetes mellitus may be an antecedent cause to kidney disease.;selected(${Id10463}, 'yes');;;;;;;;
text;Id10467;(Id10467) [Duration (Ib):];;selected(${Id10463}, 'yes');;;;;;;;
text;Id10468;(Id10468) [Record the second antecedent cause of death from the certificate (line 1c)];;selected(${Id10463}, 'yes');;;;;;;;
text;Id10469;(Id10469) [Duration (Ic):];;selected(${Id10463}, 'yes');;;;;;;;
text;Id10470;(Id10470) [Record the third antecedent cause of death from the certificate (line 1d)];;selected(${Id10463}, 'yes');;;;;;;;
text;Id10471;(Id10471) [Duration (Id):];;selected(${Id10463}, 'yes');;;;;;;;
text;Id10472;(Id10472) [Record the contributing cause(s) of death from the certificate (part 2)];;selected(${Id10463}, 'yes');;;;;;;;
text;Id10473;(Id10473) [Duration (part2):];;selected(${Id10463}, 'yes');;;;;;;;
end group;;;;;;;;;;;;
begin group;narrat;Open narrative;;;;;field-list;;;;;
text;Id10476;(Id10476) Thank you for your information. Now can you please tell me in your own words about the events that led to the death?;"Record detailed notes of response; use additional paper as needed. If needed, probe for additional details on when respondent recognized symptoms, care sought, barriers to care, issues with transport, abnormalities, etc.";;;;multiline;;;;;
select_multiple select_510;Id10477;(Id10477) [Select any of the following words that were mentioned as present in the narrative.];;selected(${isAdult}, '1');;;;;;;;
select_multiple select_511;Id10478;(Id10478) [Select any of the following words that were mentioned as present in the narrative.];;selected(${isChild}, '1');;;;;;;;
select_multiple select_512;Id10479;(Id10479) [Select any of the following words that were mentioned as present in the narrative.];;selected(${isNeonatal}, '1');;;;;;;;
end group;;;;;;;;;;;;
note;id10477_check;"(id10477_check) It is not possible to select ""Don't know"" or ""None of the above"" together with other options. Please go back and correct the selection. ";;(selected(${Id10477}, 'dk') or selected(${Id10477}, 'None')) and count-selected(${Id10477})>1;yes;;;;;;;
note;id10478_check;"(id10478_check) It is not possible to select ""Don't know"" or ""None of the above"" together with other options. Please go back and correct the selection. ";;(selected(${Id10478}, 'dk') or selected(${Id10478}, 'None')) and count-selected(${Id10478})>1;yes;;;;;;;
note;id10479_check;"(id10479_check) It is not possible to select ""Don't know"" or ""None of the above"" together with other options. Please go back and correct the selection. ";;(selected(${Id10479}, 'dk') or selected(${Id10479}, 'None')) and count-selected(${Id10479})>1;yes;;;;;;;
end;Id10481;;;;;;;;;;;
text;comment;(comment) Comment;;;;;;;;;;
end group;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
