Well: A1 - 80,000 HCMVEC
Spectrum: Run.1 measured at 23/07/2020 5:09:48 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.67,8821.71,-73.05
2.15,7117.72,-73.14
2.78,5759.92,-72.83
3.59,4650.08,-72.75
4.64,3805.38,-72.67
5.99,3097.03,-72.59
7.74,2495.46,-72.14
10.00,2016.01,-71.52
12.92,1629.78,-70.81
16.68,1318.37,-69.99
21.54,1068.96,-68.89
27.83,867.83,-67.54
35.94,707.07,-65.94
46.42,578.59,-63.93
59.95,476.09,-61.49
77.43,394.58,-58.66
100.00,330.61,-55.37
129.15,280.37,-51.72
166.81,240.79,-47.85
215.44,210.60,-43.71
278.26,187.03,-39.86
359.38,168.24,-35.89
464.16,153.28,-32.23
599.48,141.31,-28.93
774.26,131.69,-25.95
1000.00,123.69,-23.34
1291.55,116.89,-20.99
1668.10,110.84,-18.92
2154.43,105.70,-16.86
2782.56,101.24,-14.94
3593.81,97.38,-13.14
4641.59,94.29,-11.44
5994.84,91.93,-9.82
7742.64,89.97,-8.46
10000.00,88.44,-7.26
12915.50,87.35,-6.19
16681.01,86.45,-5.32
21544.35,85.57,-4.58
27825.59,84.86,-3.99
35938.14,84.04,-3.66
46415.89,83.46,-3.31
59948.43,82.58,-2.92
77426.37,81.48,-2.45
100000.00,80.40,-1.99


Well: B4 - 20,000 HCMVEC
Spectrum: Run.49 measured at 24/07/2020 8:25:16 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13585.43,-73.45
1.29,11016.05,-73.13
1.67,8857.86,-73.48
2.15,7185.86,-73.19
2.78,5777.42,-73.27
3.59,4667.71,-72.96
4.64,3817.86,-72.78
5.99,3092.60,-72.66
7.74,2499.48,-72.18
10.00,2020.35,-71.62
12.92,1633.88,-70.90
16.68,1322.07,-69.99
21.54,1070.95,-68.96
27.83,869.91,-67.62
35.94,708.52,-65.92
46.42,579.33,-63.89
59.95,476.78,-61.52
77.43,395.24,-58.68
100.00,331.07,-55.35
129.15,280.87,-51.66
166.81,241.29,-47.75
215.44,210.72,-43.68
278.26,187.37,-39.83
359.38,168.64,-35.82
464.16,153.70,-32.11
599.48,141.86,-28.77
774.26,132.24,-25.89
1000.00,124.29,-23.22
1291.55,117.43,-20.89
1668.10,111.35,-18.80
2154.43,106.18,-16.81
2782.56,101.69,-14.92
3593.81,97.93,-13.10
4641.59,94.88,-11.37
5994.84,92.39,-9.84
7742.64,90.46,-8.46
10000.00,88.94,-7.29
12915.50,87.87,-6.22
16681.01,86.91,-5.34
21544.35,86.01,-4.66
27825.59,85.24,-4.14
35938.14,84.44,-3.80
46415.89,83.85,-3.42
59948.43,82.84,-3.06
77426.37,81.73,-2.62
100000.00,80.61,-2.08


Well: B4 - 20,000 HCMVEC
Spectrum: Run.53 measured at 24/07/2020 9:41:26 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13609.18,-73.46
1.29,10980.15,-73.05
1.67,8905.52,-73.33
2.15,7181.15,-73.12
2.78,5811.70,-73.19
3.59,4687.48,-72.89
4.64,3831.95,-72.79
5.99,3108.04,-72.84
7.74,2504.80,-72.22
10.00,2027.06,-71.58
12.92,1636.10,-71.00
16.68,1325.02,-70.04
21.54,1073.48,-68.96
27.83,871.22,-67.61
35.94,709.57,-65.92
46.42,580.09,-63.95
59.95,477.32,-61.54
77.43,395.62,-58.65
100.00,331.53,-55.32
129.15,280.99,-51.69
166.81,241.78,-47.74
215.44,211.03,-43.64
278.26,187.61,-39.70
359.38,169.01,-35.76
464.16,153.83,-32.12
599.48,142.14,-28.78
774.26,132.63,-25.82
1000.00,124.48,-23.18
1291.55,117.63,-20.85
1668.10,111.72,-18.73
2154.43,106.45,-16.79
2782.56,101.99,-14.87
3593.81,98.21,-13.08
4641.59,95.14,-11.38
5994.84,92.72,-9.87
7742.64,90.79,-8.44
10000.00,89.34,-7.29
12915.50,88.06,-6.32
16681.01,87.15,-5.46
21544.35,86.27,-4.74
27825.59,85.50,-4.22
35938.14,84.56,-3.90
46415.89,83.94,-3.58
59948.43,82.89,-3.27
77426.37,81.75,-2.75
100000.00,80.54,-2.15


Well: B4 - 20,000 HCMVEC
Spectrum: Run.57 measured at 24/07/2020 10:57:34 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13635.69,-73.72
1.29,11010.41,-73.68
1.67,8902.22,-73.19
2.15,7195.74,-73.45
2.78,5805.76,-73.02
3.59,4691.03,-72.95
4.64,3839.02,-72.89
5.99,3122.50,-72.69
7.74,2510.00,-72.34
10.00,2029.93,-71.73
12.92,1641.45,-70.91
16.68,1327.31,-70.16
21.54,1075.41,-69.02
27.83,873.17,-67.65
35.94,710.75,-66.02
46.42,581.32,-63.97
59.95,478.16,-61.55
77.43,396.36,-58.68
100.00,332.07,-55.40
129.15,281.46,-51.69
166.81,241.96,-47.78
215.44,211.37,-43.62
278.26,188.34,-39.70
359.38,169.40,-35.77
464.16,154.03,-32.14
599.48,142.36,-28.81
774.26,132.69,-25.83
1000.00,124.66,-23.24
1291.55,117.70,-20.92
1668.10,111.78,-18.76
2154.43,106.58,-16.75
2782.56,102.11,-14.89
3593.81,98.35,-13.07
4641.59,95.28,-11.38
5994.84,92.85,-9.91
7742.64,90.90,-8.51
10000.00,89.41,-7.41
12915.50,88.26,-6.41
16681.01,87.25,-5.55
21544.35,86.34,-4.86
27825.59,85.42,-4.37
35938.14,84.58,-4.08
46415.89,83.83,-3.76
59948.43,82.83,-3.36
77426.37,81.60,-2.92
100000.00,80.43,-2.41


Well: B4 - 20,000 HCMVEC
Spectrum: Run.61 measured at 24/07/2020 12:13:43 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13752.43,-73.73
1.29,11139.00,-73.40
1.67,8932.97,-73.62
2.15,7255.09,-73.42
2.78,5828.22,-73.37
3.59,4707.30,-73.07
4.64,3854.41,-72.93
5.99,3117.80,-72.68
7.74,2521.36,-72.34
10.00,2032.11,-71.82
12.92,1644.72,-71.04
16.68,1330.76,-70.16
21.54,1078.13,-68.99
27.83,875.00,-67.70
35.94,712.42,-65.95
46.42,582.62,-64.01
59.95,479.33,-61.55
77.43,397.24,-58.71
100.00,332.71,-55.37
129.15,282.41,-51.65
166.81,242.54,-47.83
215.44,211.98,-43.63
278.26,188.36,-39.85
359.38,169.75,-35.81
464.16,154.45,-32.20
599.48,142.58,-28.81
774.26,132.98,-25.83
1000.00,124.91,-23.30
1291.55,118.00,-20.90
1668.10,112.03,-18.71
2154.43,106.78,-16.79
2782.56,102.42,-14.84
3593.81,98.62,-13.09
4641.59,95.63,-11.41
5994.84,93.11,-9.85
7742.64,91.24,-8.55
10000.00,89.74,-7.43
12915.50,88.44,-6.44
16681.01,87.47,-5.60
21544.35,86.56,-4.97
27825.59,85.65,-4.47
35938.14,84.68,-4.18
46415.89,83.91,-3.92
59948.43,82.85,-3.55
77426.37,81.54,-3.05
100000.00,80.21,-2.68


Well: B4 - 20,000 HCMVEC
Spectrum: Run.65 measured at 24/07/2020 1:29:54 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13767.71,-73.82
1.29,11151.49,-73.74
1.67,8939.87,-73.47
2.15,7257.90,-73.54
2.78,5834.16,-73.25
3.59,4713.98,-73.07
4.64,3865.75,-72.93
5.99,3128.16,-72.74
7.74,2533.42,-72.31
10.00,2041.29,-71.71
12.92,1648.79,-71.01
16.68,1334.47,-70.17
21.54,1081.51,-69.02
27.83,877.58,-67.68
35.94,714.62,-66.01
46.42,584.20,-63.99
59.95,480.75,-61.61
77.43,398.47,-58.68
100.00,333.67,-55.43
129.15,283.27,-51.76
166.81,242.98,-47.84
215.44,212.35,-43.71
278.26,188.70,-39.86
359.38,169.83,-35.87
464.16,154.71,-32.21
599.48,142.72,-28.79
774.26,133.00,-25.90
1000.00,124.97,-23.23
1291.55,118.06,-20.85
1668.10,112.02,-18.73
2154.43,106.91,-16.76
2782.56,102.47,-14.83
3593.81,98.72,-13.06
4641.59,95.61,-11.37
5994.84,93.21,-9.89
7742.64,91.30,-8.54
10000.00,89.75,-7.42
12915.50,88.49,-6.46
16681.01,87.53,-5.66
21544.35,86.61,-5.02
27825.59,85.68,-4.51
35938.14,84.72,-4.33
46415.89,83.81,-3.89
59948.43,82.72,-3.62
77426.37,81.45,-3.14
100000.00,80.20,-2.59


Well: B4 - 20,000 HCMVEC
Spectrum: Run.69 measured at 24/07/2020 2:46:02 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13781.39,-73.86
1.29,11132.84,-73.77
1.67,8978.11,-73.35
2.15,7269.42,-73.55
2.78,5849.96,-73.14
3.59,4727.58,-73.08
4.64,3877.21,-72.94
5.99,3146.11,-72.65
7.74,2540.94,-72.30
10.00,2045.15,-71.77
12.92,1654.42,-71.02
16.68,1339.38,-70.10
21.54,1085.20,-68.98
27.83,880.84,-67.70
35.94,717.20,-66.02
46.42,586.62,-64.06
59.95,482.54,-61.63
77.43,399.81,-58.81
100.00,334.91,-55.56
129.15,283.45,-51.89
166.81,243.64,-48.01
215.44,212.78,-43.92
278.26,188.99,-39.97
359.38,169.83,-35.99
464.16,154.71,-32.24
599.48,142.62,-28.91
774.26,133.08,-25.91
1000.00,124.86,-23.30
1291.55,118.02,-20.92
1668.10,112.01,-18.73
2154.43,106.74,-16.78
2782.56,102.36,-14.90
3593.81,98.64,-13.12
4641.59,95.56,-11.42
5994.84,93.13,-9.88
7742.64,91.15,-8.61
10000.00,89.69,-7.47
12915.50,88.45,-6.50
16681.01,87.44,-5.73
21544.35,86.50,-5.07
27825.59,85.57,-4.59
35938.14,84.57,-4.33
46415.89,83.74,-3.98
59948.43,82.55,-3.69
77426.37,81.28,-3.23
100000.00,80.01,-2.57


Well: B4 - 20,000 HCMVEC
Spectrum: Run.73 measured at 24/07/2020 4:02:11 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13868.83,-73.64
1.29,11198.67,-73.18
1.67,9039.33,-73.52
2.15,7308.51,-73.28
2.78,5888.54,-73.43
3.59,4755.29,-73.13
4.64,3895.89,-73.06
5.99,3142.33,-72.84
7.74,2548.14,-72.15
10.00,2052.37,-71.81
12.92,1661.93,-70.92
16.68,1344.64,-70.15
21.54,1089.39,-69.02
27.83,884.29,-67.71
35.94,720.36,-66.07
46.42,589.00,-64.05
59.95,484.40,-61.67
77.43,401.39,-58.87
100.00,335.87,-55.66
129.15,284.50,-52.00
166.81,244.16,-48.06
215.44,213.00,-43.94
278.26,189.19,-40.04
359.38,170.15,-36.05
464.16,154.84,-32.34
599.48,142.87,-28.94
774.26,133.17,-25.97
1000.00,125.01,-23.27
1291.55,118.14,-20.91
1668.10,112.18,-18.77
2154.43,106.96,-16.76
2782.56,102.60,-14.84
3593.81,98.86,-13.06
4641.59,95.81,-11.41
5994.84,93.34,-9.87
7742.64,91.42,-8.58
10000.00,89.86,-7.49
12915.50,88.62,-6.55
16681.01,87.55,-5.80
21544.35,86.60,-5.20
27825.59,85.64,-4.72
35938.14,84.59,-4.49
46415.89,83.71,-4.22
59948.43,82.47,-3.85
77426.37,81.20,-3.40
100000.00,79.85,-2.76


Well: B4 - 20,000 HCMVEC
Spectrum: Run.77 measured at 24/07/2020 5:18:20 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13934.30,-73.72
1.29,11289.35,-73.41
1.67,9055.43,-73.67
2.15,7342.30,-73.35
2.78,5907.92,-73.42
3.59,4767.45,-73.04
4.64,3911.71,-73.01
5.99,3155.30,-72.80
7.74,2553.87,-72.21
10.00,2062.90,-71.72
12.92,1668.35,-71.02
16.68,1350.47,-70.14
21.54,1094.42,-69.00
27.83,888.49,-67.70
35.94,723.32,-66.14
46.42,591.36,-64.16
59.95,486.36,-61.81
77.43,402.63,-59.00
100.00,336.78,-55.72
129.15,285.16,-52.08
166.81,244.91,-48.14
215.44,213.38,-44.02
278.26,189.53,-40.16
359.38,170.31,-36.15
464.16,155.06,-32.38
599.48,143.15,-29.01
774.26,133.17,-25.94
1000.00,125.13,-23.30
1291.55,118.21,-20.92
1668.10,112.27,-18.79
2154.43,107.04,-16.74
2782.56,102.62,-14.83
3593.81,98.94,-13.09
4641.59,95.94,-11.42
5994.84,93.47,-9.95
7742.64,91.47,-8.64
10000.00,89.92,-7.53
12915.50,88.73,-6.62
16681.01,87.63,-5.86
21544.35,86.65,-5.30
27825.59,85.70,-4.80
35938.14,84.53,-4.57
46415.89,83.70,-4.30
59948.43,82.49,-3.97
77426.37,81.13,-3.47
100000.00,79.80,-2.82


Well: B4 - 20,000 HCMVEC
Spectrum: Run.81 measured at 24/07/2020 6:34:29 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13927.77,-73.53
1.29,11238.20,-73.23
1.67,9119.97,-73.43
2.15,7344.44,-73.20
2.78,5949.07,-73.21
3.59,4787.02,-72.96
4.64,3929.39,-72.94
5.99,3180.89,-72.87
7.74,2561.37,-72.41
10.00,2075.84,-71.64
12.92,1676.12,-70.98
16.68,1356.57,-70.06
21.54,1099.23,-69.06
27.83,892.12,-67.75
35.94,726.24,-66.18
46.42,593.55,-64.19
59.95,487.93,-61.86
77.43,403.95,-59.01
100.00,337.87,-55.78
129.15,285.91,-52.15
166.81,245.18,-48.27
215.44,213.75,-44.12
278.26,190.05,-40.13
359.38,170.67,-36.11
464.16,155.33,-32.42
599.48,143.29,-29.04
774.26,133.40,-26.01
1000.00,125.22,-23.33
1291.55,118.42,-20.91
1668.10,112.44,-18.70
2154.43,107.30,-16.72
2782.56,102.86,-14.82
3593.81,99.11,-13.09
4641.59,96.07,-11.43
5994.84,93.61,-9.93
7742.64,91.74,-8.65
10000.00,90.07,-7.58
12915.50,88.92,-6.69
16681.01,87.82,-5.94
21544.35,86.77,-5.42
27825.59,85.74,-4.92
35938.14,84.62,-4.68
46415.89,83.59,-4.38
59948.43,82.39,-4.06
77426.37,81.00,-3.52
100000.00,79.54,-2.95


Well: B4 - 20,000 HCMVEC
Spectrum: Run.85 measured at 24/07/2020 7:50:38 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,13957.28,-73.69
1.29,11248.02,-73.43
1.67,9131.65,-73.24
2.15,7355.30,-73.26
2.78,5962.99,-73.10
3.59,4804.14,-72.89
4.64,3942.12,-72.91
5.99,3192.01,-72.88
7.74,2572.79,-72.36
10.00,2085.02,-71.61
12.92,1682.47,-71.04
16.68,1362.76,-70.12
21.54,1104.25,-69.10
27.83,896.00,-67.81
35.94,729.22,-66.28
46.42,595.91,-64.26
59.95,489.33,-61.94
77.43,405.01,-59.13
100.00,338.85,-55.91
129.15,286.79,-52.24
166.81,245.76,-48.37
215.44,213.99,-44.24
278.26,190.30,-40.25
359.38,170.97,-36.20
464.16,155.32,-32.51
599.48,143.32,-29.08
774.26,133.48,-26.06
1000.00,125.31,-23.36
1291.55,118.39,-20.95
1668.10,112.45,-18.81
2154.43,107.35,-16.79
2782.56,102.97,-14.82
3593.81,99.15,-13.11
4641.59,96.11,-11.43
5994.84,93.69,-9.99
7742.64,91.78,-8.71
10000.00,90.23,-7.68
12915.50,88.92,-6.77
16681.01,87.86,-6.01
21544.35,86.77,-5.51
27825.59,85.65,-5.10
35938.14,84.54,-4.83
46415.89,83.52,-4.51
59948.43,82.19,-4.17
77426.37,80.84,-3.68
100000.00,79.36,-3.08


Well: B4 - 20,000 HCMVEC
Spectrum: Run.89 measured at 24/07/2020 9:06:47 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14061.05,-73.84
1.29,11411.43,-73.61
1.67,9124.89,-73.44
2.15,7423.02,-73.46
2.78,5959.75,-73.18
3.59,4825.88,-73.03
4.64,3955.44,-72.96
5.99,3203.77,-72.57
7.74,2589.41,-72.26
10.00,2091.93,-71.69
12.92,1691.25,-71.09
16.68,1369.08,-70.21
21.54,1109.17,-69.13
27.83,899.58,-67.89
35.94,732.03,-66.35
46.42,597.97,-64.39
59.95,491.34,-62.05
77.43,406.45,-59.25
100.00,339.68,-56.02
129.15,287.47,-52.40
166.81,246.13,-48.47
215.44,214.40,-44.36
278.26,190.40,-40.38
359.38,171.20,-36.39
464.16,155.40,-32.60
599.48,143.37,-29.15
774.26,133.50,-26.08
1000.00,125.36,-23.42
1291.55,118.48,-21.00
1668.10,112.43,-18.85
2154.43,107.35,-16.79
2782.56,102.98,-14.92
3593.81,99.25,-13.18
4641.59,96.14,-11.45
5994.84,93.76,-10.06
7742.64,91.84,-8.75
10000.00,90.26,-7.72
12915.50,88.94,-6.84
16681.01,87.87,-6.10
21544.35,86.76,-5.54
27825.59,85.57,-5.17
35938.14,84.48,-4.97
46415.89,83.50,-4.63
59948.43,82.11,-4.29
77426.37,80.67,-3.82
100000.00,79.10,-3.32


Well: B4 - 20,000 HCMVEC
Spectrum: Run.93 measured at 24/07/2020 10:22:53 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14089.22,-73.80
1.29,11419.75,-73.72
1.67,9168.83,-73.26
2.15,7439.42,-73.46
2.78,5989.86,-73.03
3.59,4848.62,-72.98
4.64,3986.14,-72.84
5.99,3223.55,-72.55
7.74,2603.03,-72.33
10.00,2102.54,-71.80
12.92,1698.87,-71.18
16.68,1374.87,-70.27
21.54,1113.97,-69.22
27.83,903.03,-67.97
35.94,735.01,-66.39
46.42,600.31,-64.51
59.95,492.66,-62.10
77.43,407.81,-59.39
100.00,340.61,-56.16
129.15,287.93,-52.50
166.81,246.49,-48.60
215.44,214.73,-44.52
278.26,190.59,-40.46
359.38,171.00,-36.49
464.16,155.35,-32.74
599.48,143.24,-29.20
774.26,133.34,-26.19
1000.00,125.28,-23.41
1291.55,118.38,-21.03
1668.10,112.42,-18.81
2154.43,107.28,-16.81
2782.56,102.88,-14.88
3593.81,99.14,-13.15
4641.59,96.11,-11.55
5994.84,93.72,-10.03
7742.64,91.82,-8.77
10000.00,90.21,-7.68
12915.50,88.91,-6.85
16681.01,87.78,-6.16
21544.35,86.65,-5.61
27825.59,85.53,-5.19
35938.14,84.38,-4.96
46415.89,83.34,-4.71
59948.43,81.88,-4.36
77426.37,80.47,-3.88
100000.00,79.05,-3.28


Well: B4 - 20,000 HCMVEC
Spectrum: Run.97 measured at 24/07/2020 11:38:54 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14179.50,-73.72
1.29,11515.34,-73.47
1.67,9206.24,-73.35
2.15,7487.09,-73.38
2.78,6012.72,-73.14
3.59,4870.94,-72.99
4.64,4001.83,-72.95
5.99,3243.15,-72.46
7.74,2621.37,-72.30
10.00,2113.22,-71.76
12.92,1707.48,-71.14
16.68,1380.46,-70.35
21.54,1118.21,-69.30
27.83,907.07,-68.00
35.94,737.50,-66.44
46.42,602.44,-64.51
59.95,494.41,-62.18
77.43,408.89,-59.45
100.00,341.50,-56.22
129.15,288.59,-52.64
166.81,246.98,-48.71
215.44,215.03,-44.61
278.26,190.53,-40.66
359.38,171.30,-36.50
464.16,155.46,-32.75
599.48,143.33,-29.29
774.26,133.53,-26.22
1000.00,125.39,-23.41
1291.55,118.49,-21.00
1668.10,112.45,-18.79
2154.43,107.30,-16.81
2782.56,102.92,-14.93
3593.81,99.13,-13.16
4641.59,96.14,-11.51
5994.84,93.76,-10.06
7742.64,91.84,-8.78
10000.00,90.19,-7.75
12915.50,88.93,-6.90
16681.01,87.82,-6.19
21544.35,86.66,-5.68
27825.59,85.53,-5.23
35938.14,84.28,-5.08
46415.89,83.23,-4.78
59948.43,81.79,-4.32
77426.37,80.30,-3.90
100000.00,78.83,-3.37


Well: B4 - 20,000 HCMVEC
Spectrum: Run.101 measured at 25/07/2020 12:54:55 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14216.89,-73.74
1.29,11507.76,-73.62
1.67,9254.27,-73.18
2.15,7516.54,-73.38
2.78,6048.36,-73.03
3.59,4891.30,-72.93
4.64,4017.29,-73.00
5.99,3254.33,-72.63
7.74,2637.13,-72.20
10.00,2121.09,-71.87
12.92,1715.91,-71.18
16.68,1386.58,-70.45
21.54,1123.13,-69.32
27.83,910.56,-68.06
35.94,740.46,-66.53
46.42,604.56,-64.63
59.95,496.06,-62.30
77.43,410.29,-59.57
100.00,342.45,-56.33
129.15,289.44,-52.73
166.81,247.46,-48.76
215.44,215.20,-44.63
278.26,191.25,-40.60
359.38,171.35,-36.63
464.16,155.53,-32.87
599.48,143.50,-29.37
774.26,133.46,-26.26
1000.00,125.32,-23.54
1291.55,118.45,-21.03
1668.10,112.47,-18.84
2154.43,107.33,-16.81
2782.56,102.94,-14.96
3593.81,99.16,-13.17
4641.59,96.19,-11.55
5994.84,93.76,-10.10
7742.64,91.84,-8.84
10000.00,90.27,-7.78
12915.50,88.91,-6.94
16681.01,87.80,-6.24
21544.35,86.68,-5.76
27825.59,85.48,-5.34
35938.14,84.19,-5.19
46415.89,83.13,-4.85
59948.43,81.70,-4.48
77426.37,80.18,-3.95
100000.00,78.69,-3.52


Well: B4 - 20,000 HCMVEC
Spectrum: Run.105 measured at 25/07/2020 2:10:57 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14299.58,-73.57
1.29,11604.05,-73.23
1.67,9305.75,-73.41
2.15,7564.44,-73.26
2.78,6088.41,-73.31
3.59,4916.53,-72.98
4.64,4030.58,-73.11
5.99,3268.17,-72.83
7.74,2640.88,-72.18
10.00,2131.13,-71.83
12.92,1721.65,-71.23
16.68,1392.36,-70.39
21.54,1127.28,-69.37
27.83,914.14,-68.12
35.94,742.91,-66.56
46.42,606.82,-64.67
59.95,497.89,-62.37
77.43,411.37,-59.62
100.00,343.36,-56.41
129.15,290.08,-52.81
166.81,248.21,-48.91
215.44,215.78,-44.70
278.26,191.19,-40.73
359.38,171.43,-36.75
464.16,155.69,-32.91
599.48,143.58,-29.39
774.26,133.63,-26.28
1000.00,125.38,-23.55
1291.55,118.54,-21.08
1668.10,112.54,-18.81
2154.43,107.39,-16.84
2782.56,102.98,-14.94
3593.81,99.28,-13.17
4641.59,96.20,-11.54
5994.84,93.84,-10.08
7742.64,91.87,-8.88
10000.00,90.34,-7.82
12915.50,88.94,-7.01
16681.01,87.85,-6.31
21544.35,86.64,-5.82
27825.59,85.43,-5.46
35938.14,84.18,-5.23
46415.89,83.08,-5.00
59948.43,81.58,-4.54
77426.37,80.11,-4.07
100000.00,78.58,-3.57


Well: B4 - 20,000 HCMVEC
Spectrum: Run.109 measured at 25/07/2020 3:27:00 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14323.41,-73.34
1.29,11578.73,-73.00
1.67,9386.67,-73.33
2.15,7586.66,-73.04
2.78,6127.86,-73.22
3.59,4946.04,-72.95
4.64,4052.51,-73.02
5.99,3278.68,-72.93
7.74,2647.55,-72.33
10.00,2141.88,-71.86
12.92,1730.18,-71.21
16.68,1398.72,-70.44
21.54,1132.23,-69.41
27.83,917.86,-68.18
35.94,746.18,-66.57
46.42,609.18,-64.70
59.95,499.88,-62.40
77.43,413.33,-59.69
100.00,344.68,-56.47
129.15,290.92,-52.84
166.81,248.59,-48.94
215.44,216.58,-44.80
278.26,191.74,-40.77
359.38,172.03,-36.72
464.16,156.06,-32.93
599.48,143.96,-29.39
774.26,133.87,-26.33
1000.00,125.66,-23.53
1291.55,118.76,-21.04
1668.10,112.86,-18.82
2154.43,107.70,-16.81
2782.56,103.23,-14.94
3593.81,99.56,-13.14
4641.59,96.56,-11.59
5994.84,94.08,-10.09
7742.64,92.10,-8.94
10000.00,90.50,-7.92
12915.50,89.17,-7.05
16681.01,88.00,-6.43
21544.35,86.81,-5.93
27825.59,85.60,-5.53
35938.14,84.19,-5.34
46415.89,83.09,-5.14
59948.43,81.57,-4.61
77426.37,80.04,-4.23
100000.00,78.62,-3.62


Well: B4 - 20,000 HCMVEC
Spectrum: Run.113 measured at 25/07/2020 4:43:05 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14429.68,-73.58
1.29,11712.37,-73.33
1.67,9375.20,-73.30
2.15,7621.99,-73.25
2.78,6133.66,-73.21
3.59,4966.08,-73.04
4.64,4071.56,-73.01
5.99,3290.70,-72.68
7.74,2659.32,-72.37
10.00,2150.22,-71.92
12.92,1737.01,-71.27
16.68,1405.76,-70.43
21.54,1136.79,-69.44
27.83,921.54,-68.22
35.94,749.50,-66.70
46.42,611.42,-64.77
59.95,501.45,-62.52
77.43,414.32,-59.75
100.00,345.48,-56.57
129.15,291.63,-52.97
166.81,249.11,-49.10
215.44,216.82,-44.91
278.26,191.96,-40.92
359.38,172.07,-36.84
464.16,156.20,-32.99
599.48,143.95,-29.46
774.26,133.80,-26.38
1000.00,125.69,-23.61
1291.55,118.69,-21.13
1668.10,112.69,-18.93
2154.43,107.58,-16.89
2782.56,103.18,-14.94
3593.81,99.52,-13.20
4641.59,96.49,-11.60
5994.84,94.04,-10.11
7742.64,92.05,-8.97
10000.00,90.47,-7.97
12915.50,89.16,-7.15
16681.01,87.92,-6.47
21544.35,86.74,-5.96
27825.59,85.48,-5.65
35938.14,84.09,-5.38
46415.89,83.00,-5.16
59948.43,81.54,-4.69
77426.37,79.85,-4.25
100000.00,78.38,-3.68


Well: B4 - 20,000 HCMVEC
Spectrum: Run.117 measured at 25/07/2020 5:59:10 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14495.09,-73.39
1.29,11764.71,-73.00
1.67,9449.73,-73.36
2.15,7673.48,-73.12
2.78,6180.62,-73.19
3.59,4996.40,-72.99
4.64,4089.89,-73.03
5.99,3309.71,-72.69
7.74,2674.56,-72.44
10.00,2159.00,-72.02
12.92,1744.60,-71.30
16.68,1410.57,-70.56
21.54,1141.93,-69.50
27.83,925.54,-68.28
35.94,752.34,-66.75
46.42,614.01,-64.82
59.95,503.37,-62.57
77.43,415.86,-59.86
100.00,346.74,-56.64
129.15,292.42,-53.03
166.81,250.17,-49.13
215.44,217.19,-44.94
278.26,192.20,-40.97
359.38,172.37,-36.83
464.16,156.36,-33.08
599.48,144.13,-29.51
774.26,134.12,-26.38
1000.00,125.89,-23.64
1291.55,118.99,-21.11
1668.10,112.99,-18.91
2154.43,107.78,-16.88
2782.56,103.46,-14.94
3593.81,99.71,-13.19
4641.59,96.68,-11.57
5994.84,94.24,-10.12
7742.64,92.29,-9.00
10000.00,90.66,-7.95
12915.50,89.35,-7.16
16681.01,88.07,-6.51
21544.35,86.85,-6.05
27825.59,85.51,-5.71
35938.14,84.14,-5.53
46415.89,82.96,-5.27
59948.43,81.43,-4.81
77426.37,79.81,-4.41
100000.00,78.23,-3.81


Well: B4 - 20,000 HCMVEC
Spectrum: Run.121 measured at 25/07/2020 7:15:17 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14524.83,-73.23
1.29,11726.85,-72.99
1.67,9541.30,-73.15
2.15,7691.73,-72.97
2.78,6230.64,-73.12
3.59,5026.88,-72.99
4.64,4117.06,-72.95
5.99,3330.68,-72.99
7.74,2691.28,-72.53
10.00,2168.08,-72.07
12.92,1752.74,-71.32
16.68,1417.29,-70.50
21.54,1147.45,-69.52
27.83,929.49,-68.30
35.94,755.01,-66.76
46.42,616.12,-64.87
59.95,505.13,-62.61
77.43,417.14,-59.88
100.00,347.85,-56.69
129.15,293.41,-53.08
166.81,251.10,-49.15
215.44,217.53,-45.03
278.26,192.78,-40.98
359.38,172.64,-37.01
464.16,156.73,-33.09
599.48,144.38,-29.55
774.26,134.38,-26.37
1000.00,126.10,-23.67
1291.55,119.11,-21.16
1668.10,113.19,-18.85
2154.43,107.98,-16.88
2782.56,103.62,-15.03
