"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","05/11/2022","4:45 PM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOiseS4_30plex_plate5_20220511"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_30plex_new"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","5/12/2022 6:17:40 PM"
"BatchStopTime","5/12/2022 7:19:45 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","30"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 05/09/2022 12:07:47"
"Last VER Verification","Passed 05/09/2022 12:08:49"
"Last Fluidics Test","Passed 05/09/2022 12:10:09"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B83445","09/15/2022","5/9/2022 12:07:47 PM","26","26","26","26","163","205","310","310","0.00721","0.0071","0.00394","0.11668","Pass","MAGPX16145704"


"Samples","96","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"70(1,F10)","Unknown78","21086.83","703.55","1931.85","3020.74","2198.61","852.67","2074.47","213.36","7586.66","4406.22","9042.26","12348.78","1700.8","755.65","18253.33","20963.26","1986.26","23960.46","797.79","21725.8","3897.3","5050.54","7400.32","17395.71","227.92","6808.87","8336.92","6467.49","11705.07","6760.77","1751"
"71(1,F11)","Unknown86","25757.32","2550.42","2070.45","2009.8","1812.24","742","430.08","2028.05","9720.07","1075","11424.93","14992.98","599.19","1512.2","22355.66","24147.03","946.09","19801.77","19314.71","21582.51","3584.74","2076.71","9037.6","19860.53","8201.57","7482.56","10393.06","5612.87","18191.67","10894.35","1930"
"72(1,F12)","Unknown94","16975.08","232.66","640.4","273.84","718.61","349.56","479.88","112.76","3788.38","1139.67","6201.77","8749.1","324.91","1705.76","15707.36","16408.29","794.43","1057","182.11","14939.81","3376.06","900.66","4731.41","12779.14","1564.14","3148.69","5036.21","2516.56","9247.26","4085.07","1309"
"73(1,G1)","Unknown7","26452.78","683.09","2116.6","888.73","693.5","538.1","1041.47","153.18","11859.56","2117.13","13115.88","16262.2","395.27","695.23","23820.6","25636.56","1154.44","13782.91","5297.67","24876.06","1810.54","1898.24","11177.81","23377.74","889.06","11384.33","14082.38","5131.74","20203.89","14612.84","1542"
"74(1,G2)","Unknown15","26290.1","579.27","2204.61","2294","1402.7","509.13","885.62","146","9741.16","2096.08","12127.58","15458.1","547.25","2488.39","23326.92","25264.39","162.7","6393.22","1753.78","24180.34","1839.65","1061","9662.05","20708.8","427.02","8563.4","10507.38","4923.82","16596.42","11388.4","1618"
"75(1,G3)","Unknown23","26473.11","583.77","1780.36","282.75","945.78","451.35","412.13","181.68","10910.41","1010.18","12025.84","14933.22","851.7","2472.94","22211.79","24932.58","1075.9","13510.03","1467.93","23628.83","4363.25","3762","10525.74","21402.03","6243.46","11937.05","13050.87","4324.52","18582.78","14784.83","1855"
"76(1,G4)","Unknown31","27413.18","850.29","7789.62","3192.46","1056","1728.89","422.88","269.19","10158.82","524.09","11565.81","15072.78","379.48","1417.27","22680.81","25580.84","946.45","10126.91","272.82","24205.25","2317.7","1607.15","9973.17","22229.36","3719.26","10655.38","12417.71","6059.78","17074.9","14055.27","1556"
"77(1,G5)","Unknown39","18166.33","675.58","498.54","360.87","420.85","465.2","1120.46","112.78","4015.5","2503.35","5134.42","9131.87","529.79","1498.46","15463.72","20095.51","1356.06","5490.64","198.93","18425.06","665.66","1750.6","5035.36","15644.9","4250.58","3417.42","4972.82","6221.61","9381.1","3633.41","1698"
"78(1,G6)","Unknown47","19093.53","754","1849.63","1581.1","833.3","560.21","646.26","827.79","5262.73","1273.64","6338.95","10662.94","806.49","4419.62","14398.76","20464.74","473.9","9196.69","803.08","20344.75","1367.55","6779.08","6654.56","15450.03","6672.24","6347.42","7283.22","5665.21","13108.96","10349.58","1720"
"79(1,G7)","Unknown55","522.54","367.59","3769.45","485.04","1143.57","889.61","787.49","165.91","175.31","1514.15","243.18","210.61","981.25","2387.29","992.98","1865.85","370.93","16547.28","6495.34","2294.91","424.75","6566.28","216.57","1503.78","1381.75","212.27","204.59","833.21","5374.35","999.96","1747"
"80(1,G8)","Unknown63","23017.56","429.41","1997.87","181.82","548.31","214.05","248.16","347.02","7682.27","420.98","9139.11","11900.28","1419.06","2015.24","20489.11","23058.56","294.62","6761.5","784.9","22846.93","666.74","966.77","7090.73","19280.02","1890.36","5528.26","8328.24","6705.68","11956.07","6194.61","1551"
"81(1,G9)","Unknown71","827.68","315.55","381","312.96","430.15","487.08","797.66","135.87","223.75","1600.96","546.52","557.9","623.8","1744.32","2023.21","2123.76","125.03","21256.18","5383.18","2301.22","1156.46","5357.12","306.89","1975.32","727.6","363.62","369.98","605.26","9370.11","2233.32","1843"
"82(1,G10)","Unknown79","19818.2","1869.85","1209.09","710.09","1722.43","721.03","1591.38","202.89","6716.25","3802.23","7173.81","10267.02","731.84","2348.46","18366.74","18415.11","314.58","18389.64","13209.13","16500.74","1740.36","1462.11","6214.87","17674.33","4637.47","6469.21","8339.64","2183.19","12315.18","6658.44","1633"
"83(1,G11)","Unknown87","27507.85","4097.87","3099.26","1384.34","3842.37","678.55","688.22","492.23","9868.13","1224.46","11533.17","16385.77","874.34","4563.27","24995.48","27495","863.23","25273.11","25142.45","27688.22","1252.85","2423.97","10160.21","23758.9","3862.09","9377.15","11285.9","9633.9","16952.18","10684.26","1640"
"84(1,G12)","Unknown95","15423.47","1226.21","769.55","563.36","1087.89","478.44","819.62","240.98","3013.66","1771.8","4031.03","7600.87","417.47","1297.2","12096.53","14801.21","380.52","6747.19","14878.65","11199.06","812.38","3831.51","4127.79","11424.7","3535.8","2685.84","4098.71","2251.46","8196.69","3129.89","1591"
"85(1,H1)","Unknown8","24345.09","506.93","2361.34","3383.67","1353.85","807.09","1209.6","118.69","3606.83","2929.75","10683.56","14465.63","486.5","1245.76","20354.27","21543.83","536.82","17760.37","322.83","14000.2","1490.5","4307.26","7854.65","9223.65","4221.48","4222.61","5046.1","2873.42","6671.44","5622.13","1755"
"86(1,H2)","Unknown16","9715.86","357.66","4569.44","2004.66","381.33","577.18","648.12","302.22","1553.07","1663.8","1908.16","4290.33","315.95","893.5","8004.1","12876.62","384.75","10232.39","906.75","9135.61","2872.47","7426.98","2178.03","9804.63","258.07","1632.94","2301.49","2686","4417.31","1228.31","1701"
"87(1,H3)","Unknown24","25344.59","332.35","1314.79","381.81","1801.7","226.78","279.02","201.89","10164.25","240.38","12059.02","15751.64","1312.26","1574.69","22034.27","24234.46","1370.64","4976.4","611.52","21861.78","2711.54","1651.9","9526.31","21351.27","1153.58","9291.62","12457.77","2237.5","19042.65","12952.37","1860"
"88(1,H4)","Unknown32","12641.53","300","1208.55","636.89","976.47","436.68","793.28","88.76","2795.11","1815.34","3822.5","7679.82","891.96","1466.76","9283.3","14867.17","501.41","13878.45","184.18","12635.42","2279.5","7569.4","4318.58","9319.41","4740.04","3157.77","3909.31","1225.22","7385.57","5897.78","1781"
"89(1,H5)","Unknown40","21335.98","410.79","2056.39","244.11","655.91","841.94","924","226.13","6992.91","2136.88","8433.04","12547.23","702.84","2332.28","18092.68","21635.69","764.54","11767.12","237.49","21755.27","3102.05","2443.98","7463.41","16781.75","2542.1","7273.02","8853.7","7205.93","13270.04","8226.87","1779"
"90(1,H6)","Unknown48","19468.73","289.23","1241.13","451.17","386.88","520.85","1395.89","96.64","4819.4","2004.93","5890.66","9709.02","444.33","2116.66","13520.72","17377.46","565","8313.63","193.96","16469.61","1168.36","3024.46","5275.75","11420.78","887.77","4123.93","4791.63","3145.16","6586.44","6209.75","1760"
"91(1,H7)","Unknown56","8570.73","595.06","4359.31","1900.11","2106.32","996.19","1404.03","131.74","1922.66","2159.04","2330.38","4949.09","416.18","2131.93","6273.88","12947.68","654.44","10308.56","136.91","13677.32","2736.91","3978.02","2365.18","7565.16","5016.11","2240.38","2213.34","1697.84","3060.09","5105.94","1881"
"92(1,H8)","Unknown64","22471.17","362.51","4895.79","887.86","2596.05","511.39","738.84","2677.56","5257.98","673.32","7704.41","13117.17","1673.56","4040.76","18448.15","21981.65","1212.08","13525.98","1356.57","20037.44","4011.65","1582.32","7175.51","16677.52","1220.86","4980.08","6330.25","4864.62","9928.34","6543.61","1884"
"93(1,H9)","Unknown72","22509.04","398.27","1674.99","728.69","884.41","594","788.58","1597.47","8031.98","1776.8","8800.51","13373.23","682.76","3974.02","17827.22","22752.08","906","15257.86","1312.49","21856.92","1758.54","5155.72","8035.15","17389.64","2416.44","7924.57","8735.49","5309.84","15488.6","11490.73","1849"
"94(1,H10)","Unknown80","3860.3","305.38","903.57","769","844.66","400.43","601.93","219.82","425.16","888.76","557.51","1477.17","1101.92","3509.91","2572.02","4939.82","1951.58","13996.78","1651.48","4922.25","2422.61","3951.31","718.33","4309.2","4982.71","381.94","486","1287.52","1517.06","457.75","1677"
"95(1,H11)","Unknown88","16651.96","228.07","701.16","376.29","3554.25","322.14","546.33","94.28","4750.9","1188.53","5650.3","8995.34","425.95","1429.22","13696.41","16661.49","386.75","7141.35","195.11","15421.54","1252","999.47","4680.71","13212.46","4254.61","3380.18","5290.8","3399.23","8505","3798.26","1858"
"96(1,H12)","Unknown96","8438.88","746.12","1151.86","767.44","1103.12","619.94","1275.58","346.86","1731.31","2548.89","2019.39","3312.3","441.64","1335.55","8351.36","7389.08","444.5","10279.66","5630.25","7549.19","968.64","1221.39","1732.64","7570.97","1641.28","1501.92","1870.31","1062.21","2828.45","1261.41","1392"

"DataType:","Trimmed % CV of Microspheres"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"1(1,A1)","B","29.45","17.95","22.41","18.69","16.24","13.65","22.42","16.57","20.03","21.79","24.73","17.04","18.92","19.26","18.67","19.27","15.57","21.71","29.2","18.31","24.18","17.94","16.12","21.54","20.52","16.38","20.83","16.99","19.06","16.82","1692"
"2(1,A2)","S","14.44","13.32","9.98","8.18","10.38","5.73","8.15","9.16","17.97","11.12","14.64","9.99","7.15","9.18","6.18","6.23","11.64","7.13","5.38","7.96","11.98","7.12","12.41","7.98","6.15","15.16","20.94","18.17","5.75","17.84","1588"
"3(1,A3)","S","18.08","13.9","8.81","8.42","10.81","7.16","15.14","11.88","21.42","8.32","14.38","12.61","9.95","9.66","5.06","6.42","13.37","7.73","5.94","6.37","11.82","6.9","17.99","7.02","7.98","20.41","13.88","18.24","8.38","21.5","1747"
"4(1,A4)","S","20.96","13.52","10.3","11.38","11.61","13.18","11.58","15.95","26.41","7.48","13.09","9.12","8.87","9.7","10.45","8.73","8.9","11.42","8.58","5.72","10.21","6.16","20.01","8.95","7.27","15.73","15.51","21.82","6.48","18.58","1585"
"5(1,A5)","S","28.59","11.66","10.77","8.73","10.51","10.15","12.6","14.15","28.76","8.37","16.85","12.38","14.13","8.73","5.71","10.33","18.1","12.64","7.2","6.9","9.72","8.08","19.96","8.29","6.25","12.54","21.46","16.5","11.7","20.37","1432"
"6(1,A6)","S","21.42","13.26","20.1","15.08","12.05","9.69","10.81","11.87","25.19","9.32","17.52","17.99","12.84","9.66","7.43","7.83","12.32","11.47","9.24","7.72","12.76","9.08","17.5","8.79","6.2","17.01","23.6","17.05","11.01","14.56","1893"
"7(1,A7)","S","21.32","12.39","13.52","10.21","12.61","11.62","13.01","15.77","22.52","10.45","13.52","21.25","14.15","13.3","6.16","9.32","16.63","16.25","8.59","9.12","14.06","10.37","19.21","10.42","9.21","17.04","16.28","17.56","15.59","15.37","1540"
"8(1,A8)","S","21.14","16.12","14.58","14.41","12.68","11.49","12.55","16.97","20.19","10.17","18.28","16.91","12.48","10.85","6.91","8","13.38","12.3","7.55","8.34","10.06","14.42","16.14","8.29","7.5","16.57","17.96","19.04","12.97","16.1","1795"
"9(1,A9)","S","23.2","14.51","16.4","13.19","10.21","12.57","16.29","17.7","20.48","11.48","16.81","13.31","13.73","14.51","8.8","9.86","17.08","8.14","8.97","8.53","15.63","11.29","14.91","12.63","13.47","16.26","13.7","15.15","13.36","13.96","1916"
"10(1,A10)","S","25.8","12.08","12.03","11.63","15.77","13.68","12.84","14.65","22.15","11.19","16","18.11","18.08","13.26","8.11","7.88","14.09","8.26","9.24","10.18","12.77","13.57","17.43","12.05","12.75","19.18","18.4","14.51","13.22","16.26","1518"
"11(1,A11)","S","16.27","11.01","11.44","9.92","9.73","12.47","12.88","13.81","15.9","11.15","17.76","11.93","17.21","13.06","11.26","10.67","11.91","7.63","9.7","10.59","13.26","11.82","14.21","20.11","15.2","14.34","11.75","11.01","9.62","11.1","1726"
"12(1,A12)","S","19.08","18.17","18.57","17.5","11.87","13.42","16.07","17.91","21.19","18.67","22.27","17.43","21.1","17.81","16.27","14.09","14.9","12.83","16.06","15.15","20.83","17.19","17.88","17.01","15.29","18.76","16.22","17.4","15.84","17.35","1861"
"13(1,B1)","Unknown2","10.79","16.6","15.99","8.99","12.2","12.89","15.29","16.78","19.13","9.11","9.23","6.74","8.21","10.92","6.36","5.4","14.64","8.79","15.7","6.82","10.59","10.57","14.48","7.5","9.54","10.16","11.02","16.48","5.02","11.56","1534"
"14(1,B2)","Unknown10","9.68","16.25","8.86","10.12","11.43","10.05","13.5","15.58","15.24","17.3","6.5","8.74","12.13","10.73","6.38","5.28","14.97","6.82","13.99","5.43","11.31","9.96","8.87","5.67","6.96","9","7.57","21.68","5.29","11.35","1759"
"15(1,B3)","Unknown18","12.44","12.84","14.02","11.85","11.48","13.54","12.81","14.21","15.34","8.27","8.39","7.47","10.02","12.77","5.35","6.22","14.63","10.47","9.93","6.28","13.62","7.95","12.11","5.12","12.55","15.5","16.85","13.1","5.35","12.82","1980"
"16(1,B4)","Unknown26","12.22","15.98","12.75","13.41","14.25","15.92","11.24","13.3","17.58","8.8","11.5","12.56","10.4","12.43","9.23","4.44","12.64","15.08","13.46","8.91","16.35","12.65","16.23","8.3","14.16","7.46","8.65","14.11","11.88","14.29","1604"
"17(1,B5)","Unknown34","15.17","12.18","9.24","11.31","11.89","16.78","14.61","13.97","14.1","8.63","12.92","12.59","10.5","9.05","4.91","4.85","12.94","16.38","10.34","5.63","9.5","6.5","14.26","5.75","8.76","13.32","17.73","13.6","9.23","16.99","1804"
"18(1,B6)","Unknown42","17.25","14.49","14.77","11.53","13.9","12.2","8.07","6.55","18.71","10.09","12.6","6.63","8.43","20.76","4.43","5.61","9.87","9.55","8.33","5.55","11.67","10.18","21.85","6.71","23.04","10.03","12.11","19.32","8.44","17.36","1759"
"19(1,B7)","Unknown50","12.9","13.69","10.05","13.25","15.38","21.53","12.24","18.25","10.72","13.64","9.06","10.1","11.29","9.21","4.98","4.79","16.3","8.26","11.7","4.45","11.69","7.49","9.1","4.99","9.5","11.33","8.01","13.77","4.06","15.24","1583"
"20(1,B8)","Unknown58","16.11","12.9","12.07","10.38","10","14.63","13.17","18.79","20.81","10.25","15.77","17","8.3","8.41","6.73","5.85","11.51","6.42","17.46","4.7","14.32","7.83","20.14","5.35","6.85","17.21","13.56","19.63","4.87","11.26","1642"
"21(1,B9)","Unknown66","16.89","9.99","10.7","10.85","15.37","11.09","15.46","12.78","12.69","9.28","8.21","6.46","8.1","12.42","5.55","7.57","13.6","9.59","17.26","6.45","8.59","11.84","14.37","5.94","8.1","14.11","10.37","15.1","5.23","11.35","1381"
"22(1,B10)","Unknown74","11.07","10.05","11.92","9.96","12.42","14.07","13.34","14.76","9.66","10.68","6.77","6.03","8.35","9.73","5.96","5.57","17.58","9.31","11.65","4.73","15.56","7.27","13.49","4.99","7.99","7.6","9.29","13.91","5.15","14.04","1356"
"23(1,B11)","Unknown82","59.81","10.5","8.42","11.16","8.69","13.19","10.3","8.05","15.25","10.41","12.28","10.16","9.23","9.03","10.05","13.05","15.36","8","6.96","7.6","12.01","7.16","11.69","10.7","7.74","14.6","12.62","24.3","6.29","15.04","1623"
"24(1,B12)","Unknown90","16.08","19.83","11.31","9.03","12.8","8.3","12.78","9.63","13.37","8.91","10.21","6.81","8.36","11.54","4.88","5.7","17.59","6.39","9.15","4.46","9.88","8.29","9.7","5.15","6.51","9.08","6.48","14.83","4.63","17.35","1263"
"25(1,C1)","Unknown3","13.17","17.23","13.46","12.79","13.28","12.09","14","13.58","17.27","15.67","10.08","8.5","7.7","12.83","5.28","5.85","11.5","11.75","11.15","5.72","10.63","13.27","19.08","4.99","8.09","13.97","17.87","12.72","5.59","16.04","1523"
"26(1,C2)","Unknown11","18.3","16.22","11.45","14.45","15.63","19.92","14.94","13.77","22.75","15.93","15.41","16.81","19.06","16.97","7.93","13.91","28.3","10.46","10.1","10.02","13.17","10.47","20.96","13.66","12.75","23.84","19.34","14.63","17.37","20.9","1389"
"27(1,C3)","Unknown19","10.39","12.3","10.85","9.28","11.03","13.38","9.38","17.94","15.38","8.17","6.42","7.4","9.2","12.29","5.05","4.56","18.64","8.45","7.13","6.05","9.78","8.44","10.86","4.58","6.97","5.52","8.06","20.41","4.3","11.28","1629"
"28(1,C4)","Unknown27","10.35","10.37","19.23","13.8","12.75","16.67","10.38","18.5","20.41","10.58","7.94","5.46","8.97","10.54","5.88","6.27","11.04","13.68","8.98","5.76","12.68","10.92","10.74","6.17","9.29","11.71","9.38","36.39","12.19","12.66","1617"
"29(1,C5)","Unknown35","13.88","19.34","17.08","13.6","12.35","18.57","10.59","23.06","22.81","11.48","8.87","7.92","10.71","10.69","5.37","14.96","14.57","8.33","14.89","15.15","12.75","5.23","13.21","5.13","10.03","11.7","12.48","17.88","5.98","13.24","1430"
"30(1,C6)","Unknown43","11.32","10.68","9.64","12.49","13.28","11.39","15.37","34.49","8.23","9.94","11.65","7.34","13.74","11.44","5.26","4.57","15.73","12.75","6.98","4.84","15.61","10.52","7.92","5.35","7.24","9.04","8.68","12.73","5.19","12.22","1572"
"31(1,C7)","Unknown51","11.22","12.34","12.58","12.89","20.24","18.28","13.13","15.81","23.87","21.01","12.18","13.32","14.5","12.35","11.62","15.45","15","12.47","8.84","9.29","9.87","12.03","22.39","11.78","9.62","15.82","17.95","23.67","9.56","19.85","1444"
"32(1,C8)","Unknown59","10.99","12.26","9.68","8.47","12.65","13.75","14.23","17.8","17.85","10.98","10.34","14.33","10.51","8.17","7.2","7.39","14.9","12.43","19.54","8.32","12.45","9.15","13.41","7.31","7.42","16.57","18.86","14.06","8.94","19.03","1855"
"33(1,C9)","Unknown67","11.63","12.1","8.5","10.99","10.78","13.98","16.41","28.28","12.31","9.33","7.44","7.38","8.92","10.97","10.57","6.15","21.72","6.32","9.49","5.17","12.21","6.75","9.17","5.22","7.7","14.8","7.52","11.42","21.93","13.55","1731"
"34(1,C10)","Unknown75","14.79","12.42","8.44","13.12","11.04","17.81","16.37","17.53","12.14","10.68","6.31","7.33","10.57","13.85","5.23","4.96","26.26","9.34","18.29","5.27","10.95","7.42","13.2","5.76","7.83","10.08","15.08","23.07","4.68","13.07","1796"
"35(1,C11)","Unknown83","25.81","13.02","9.37","12.24","14.64","10.7","10.56","10.96","19.51","8.38","21","24.69","7.82","13","19.02","19.35","9.68","8.25","15.42","15.53","10.08","24.87","20.74","11.98","7.69","13.82","21.3","18.84","19.11","40.5","1793"
"36(1,C12)","Unknown91","10.53","14.15","11.99","8.82","14.38","15.46","10.77","8.39","12.83","7.49","9.74","9.18","8.96","10.73","6.43","4.98","16.33","9.21","9.15","5.27","9.32","9.17","13.21","5.74","9.59","16.31","11.1","18.58","5.63","11.71","1492"
"37(1,D1)","Unknown4","12.37","21.01","10.86","9.49","17.25","14.63","15.72","15.03","14.27","14.13","11.13","9.51","7.56","11.99","5.67","4.93","19.73","7.86","13.25","6.2","11.7","6.97","10.46","6.08","8.83","14.84","13.15","18.95","4.9","12.1","1732"
"38(1,D2)","Unknown12","12.73","19.38","12.35","10.7","12.4","12.89","15.85","19.34","16.96","10.27","12.99","9.2","9.19","11.49","6.19","5.71","27.13","9.41","7.95","6.2","14.59","14.74","13.52","5.49","9.23","10.63","13.34","21.61","6.31","17.93","1841"
"39(1,D3)","Unknown20","37.82","11.49","12.73","9.66","13.05","9.28","9.23","12.43","26.71","11.4","20.88","17.19","10.12","9.41","7.55","7.2","15.41","9.51","10.65","7.16","12.29","6.5","14.8","8.49","7.45","11.34","17.28","15.24","6.88","20.32","1988"
"40(1,D4)","Unknown28","11.94","18.21","9.91","10.26","15.17","19.01","12.47","17.44","14.4","25.86","12.68","7.44","11.27","13.93","4.98","4.53","18.77","9.23","6.17","4.8","12.37","10.1","9.66","5.83","8.11","14.36","9.26","9.85","5.18","9.82","1564"
"41(1,D5)","Unknown36","14.97","12.09","18.31","19","8.66","11.25","15.73","19.82","13.44","15.85","7.46","7.31","8.84","15.05","4.99","5.79","21.24","7.16","7.5","5.46","12.09","16.7","12.51","5.36","6.66","13.18","12.04","21.38","4.69","16.96","1676"
"42(1,D6)","Unknown44","10.58","15.37","9.59","12.3","14.44","15.67","11.38","20.12","17.04","10.76","10.3","7.94","9.65","9.5","8.35","5.39","12.72","6.1","10.82","4.86","17.09","8.11","10.78","6.03","6.22","13.2","11.56","15.69","4.67","18.62","1686"
"43(1,D7)","Unknown52","15.42","16.53","10.93","12.36","12.21","14.3","13.29","18.39","15.87","13.86","13.64","7.25","10.33","10.19","5.8","4.97","9.24","9.95","15.03","7.88","16.47","8.55","15.04","4.83","9.66","9.14","11.72","18.36","5.68","9.35","1455"
"44(1,D8)","Unknown60","13.89","11.76","13.26","14.18","13.07","9.87","11.91","16.87","15.46","11.32","9.63","6.27","8.13","11.17","4.79","5.69","14.97","9.58","8.1","5.33","9.1","7.68","12.23","5.46","9.71","13.21","8.67","13.48","5.03","12.06","1698"
"45(1,D9)","Unknown68","15.45","14.14","9.54","7.99","10.62","8.04","11.06","15.41","17.08","19.7","10.91","9.01","13.25","10.07","6.85","4.85","14.81","6.23","7.74","5.43","10.87","7.8","12.87","5.08","8.87","16.72","11.69","14.28","4.78","17.5","1574"
"46(1,D10)","Unknown76","8.5","13.04","11.62","15.72","10.05","11.21","9.91","9.12","10.08","9.74","8.11","5.89","8.36","9.7","6.11","4.48","18.73","7.52","8.05","5.13","19.87","10.92","8.48","4.95","7.65","15.4","6.04","15.79","5.23","7.5","1768"
"47(1,D11)","Unknown84","32.58","15.15","8.62","13.22","12.28","8.65","12.5","18.53","27.71","9.03","26.19","28.8","9.07","21","9.23","10.17","19.34","7.01","10.41","8.4","10.51","7.39","23.62","8.75","10.11","10.68","22.72","18.18","5.74","16.35","1415"
"48(1,D12)","Unknown92","12.23","10.37","11.22","18.49","15.79","15.67","10.56","10.02","14.05","16.91","12.73","13.18","10.87","9.77","5.34","5.09","11.41","6.83","11.22","5.98","14.64","7.61","12.78","4.85","12.97","11.2","9.7","17.16","4.45","13.49","1528"
"49(1,E1)","Unknown5","15.88","11.29","12.16","14.2","15.52","10.63","11.45","10.73","18.55","7.99","8.4","10.23","5.66","8.62","5.95","6.49","11.59","8.73","15","12.14","10.46","6.17","15.58","5.01","10.66","15.7","21.64","18.62","14.02","10.57","1727"
"50(1,E2)","Unknown13","9.64","10.15","12.53","10.77","9.28","13.85","10.84","12.7","16.27","11.9","10.33","10.43","8.07","9.74","5.92","6.13","13.72","7.51","8.87","6.11","11.22","10.72","10.7","5.16","7.26","14.85","8.93","13.46","5.34","16.3","1543"
"51(1,E3)","Unknown21","12.87","12.67","13.37","10.78","8.48","12.53","10.68","16.98","19.33","10.05","10.86","7.68","10.26","9.48","5.03","5.61","26.22","9.04","10.61","5.99","11.63","8.98","15.62","5.18","11.74","9.2","10.58","18.8","6.37","15.29","1796"
"52(1,E4)","Unknown29","9.78","16.21","22.99","16.84","18.05","9.24","20.59","28.15","15.99","11.01","8.33","8.26","12.26","14","9.48","5.89","18.6","20.19","10.15","5.58","15.45","10.91","14.78","7.04","11.92","11.29","17.73","19.45","8.97","11.54","1535"
"53(1,E5)","Unknown37","13.53","21.49","10.05","10.43","13.35","10.73","13.4","18.62","16.75","22.06","13.37","9.84","17.81","9.3","5.32","6.33","16.1","10.96","30.58","9.79","7.75","7.55","13.76","5.99","10.51","14.26","16.62","10.79","6.4","16.06","1630"
"54(1,E6)","Unknown45","8.63","16.94","8.5","13.05","14.49","12.04","13.42","23.27","18.14","15.31","18.11","10.71","9.27","13.27","6.43","6.04","19.57","10.73","6.97","6.54","17.09","14.07","12.25","7.3","8.77","25.72","10.55","11.25","6.7","19.89","1510"
"55(1,E7)","Unknown53","11.41","14.53","10.28","8.47","14.48","10.06","13.2","14.7","15.55","14.02","13.23","12.23","8.52","13.63","11.82","6.51","11.74","8.11","6.53","6.65","14.06","8.28","20.2","6.29","10.67","13.24","13.5","16.76","6.57","17.19","1546"
"56(1,E8)","Unknown61","12.93","15.74","9.2","12.28","10.28","15.43","12.49","26.9","15.66","9.48","10.78","7.57","7.62","6.91","5.27","5.08","10.76","7.03","10.12","4.8","13.99","13.87","10.78","6.8","6.83","20.7","20.24","14.7","4.9","18.6","1363"
"57(1,E9)","Unknown69","13.25","15.06","9.12","13.51","10.3","12.91","17.07","24.14","14.02","10.07","8.75","6.92","8.86","11.72","5.66","5.09","20.11","7.13","9.96","5.65","8.31","7.32","9.52","4.77","9.76","8.78","12.04","11.17","5.12","15.61","1788"
"58(1,E10)","Unknown77","7.94","12.49","13.13","9.55","10.49","13.73","11.3","5.91","12.2","7.36","9.05","9.03","10.39","11.42","5.29","5.12","28.7","6.88","6.75","5.56","10.04","8.08","12.02","5.64","5.83","13.84","7.72","19.49","5.3","13.32","1800"
"59(1,E11)","Unknown85","13.38","11.58","9.24","13.21","12.93","8","7.76","22.27","17.74","7.45","14.7","8.79","7.29","6.96","4.45","6.61","14.02","11.24","6.58","5.38","16.74","6.28","15.94","6.59","7.72","13.28","16.31","11.42","6.05","15.04","1448"
"60(1,E12)","Unknown93","14.07","13.77","10.07","10.24","9.74","14.12","17.69","11.17","17.22","18.62","16.36","7.4","8.96","8.21","5.93","5.39","13.71","8.8","10.18","4.87","11.32","7.83","8.9","5.95","5.88","14.66","9.12","17.03","5.19","15.62","1714"
"61(1,F1)","Unknown6","14.42","13.95","16.14","14.75","13.51","13.11","17.3","20.64","14.23","23.73","9.01","8.08","8.91","14.54","8.16","5.34","16.02","16.68","16.65","5.94","12.97","11.19","8.67","4.87","8.95","10.58","7.98","27.52","8.48","11.34","1507"
