"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","12/20/2021","10:50 AM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOise0_amiens_plate2_20211220"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_28plex"
"ProtocolVersion","3"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","12/20/2021 11:44:15 AM"
"BatchStopTime","12/20/2021 12:15:53 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","28"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 12/20/2021 10:56:41"
"Last VER Verification","Passed 12/20/2021 10:57:43"
"Last Fluidics Test","Passed 12/20/2021 10:59:02"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B81409","05/21/2022","12/20/2021 10:56:41 AM","26.3","26.3","26.3","26.3","167","207","313","313","0.00709","0.00709","0.00395","0.11616","Pass","MAGPX16145704"


"Samples","49","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"3(1,A3)","S","2278.28","410.8","723.4","816.97","1787.81","387.67","251.91","235.26","982.56","340.37","615.89","1525.96","220.91","1094.54","878.83","1273.23","238.72","2665.71","1641.96","1326.38","1053.18","755.51","1138.44","1622.49","676.56","184.16","329.04","357.25","1797"
"4(1,A4)","S","1380.83","258.8","279.81","487.45","723.79","246.12","238.69","153.62","485.12","289.68","550.6","1179.93","151.27","200.4","1246.97","745.86","137.96","2067.37","3796.66","857.5","718.68","293.91","787.57","595.41","537.38","102.26","180.82","181.54","1800"
"5(1,A5)","S","1098.47","146.05","198.1","218.65","756.54","154.73","164.53","80.22","265.34","176.4","299.97","611.74","102.16","183.96","369.77","691.03","66.91","1209.52","1102.44","571.35","369.68","224.45","104.63","852.34","123.58","95.33","123.82","118.21","1766"
"6(1,A6)","S","641.82","71.21","101.58","114.33","380.7","88.77","151.83","76.32","232.01","130.64","147.3","349.26","45.52","102.06","332.43","285.36","58.17","951.88","732.83","346.13","268.54","280.53","74.46","463.57","72.43","59.02","67.51","143.97","1794"
"7(1,A7)","S","277.4","34.72","50.24","93.19","155.63","62.23","49.09","20.11","90.6","71.09","128.09","173.71","16.46","45.68","265.83","239.39","25.15","454.55","361.26","199.29","144.08","60.99","23.85","260.59","47.57","21.2","57.63","62.03","1957"
"8(1,A8)","S","158.08","15.74","27.79","36.36","101.58","24.85","26.86","14.82","62","43.72","50.52","84.61","18.96","28.28","110.58","134.6","14.94","229.68","165.86","115.1","64.83","29.17","18.26","121.04","60","21.13","21.23","29.03","1848"
"9(1,A9)","S","88.94","12.85","18.37","26.08","59.06","18.85","15.66","21.43","28.17","33.03","26.25","39.29","9.47","14.18","53.3","85.26","12.19","128.96","107.46","56.01","32.69","18.89","43.41","94.2","26.52","15.67","12.19","27.42","1766"
"10(1,A10)","S","46.42","8.26","14.67","18.93","43.72","13.3","11.75","16.89","22.69","14.43","18.63","23.67","10.09","8.9","24.51","45.68","6.59","74.38","49.77","31.63","14.99","15.1","8.2","57.32","25.47","7.67","7.74","17.8","1717"
"11(1,A11)","S","26.17","6.25","12.11","14.69","15.95","9.14","7.78","8.75","16.75","11.99","12.4","14.15","7.1","8.92","17.11","24.78","5.74","34.43","35.61","17.21","16.02","10.59","7.95","50.44","18.57","6.93","6.99","30.08","1821"
"12(1,A12)","S","10.53","5.58","16.1","7.94","10.42","7.61","14.14","8.4","7.92","9.51","7.44","9.12","8.89","7.36","8.6","15.26","5.59","16.07","18.61","8.71","7.32","8.55","4.47","19.72","14.73","5.6","8.26","15.65","1805"
"13(1,B1)","Unknown2","1313.92","793.89","157.73","152.14","572.87","98.75","114.7","44.39","461.51","129.17","402.59","890.73","212.77","233.38","907.44","1267.59","101.65","1653.41","446.87","910.23","479.06","297.13","195.41","982.12","632.13","80.58","310.19","110.53","1853"
"14(1,B2)","Unknown10","64.22","171","190.64","341.71","692.51","153.29","64.5","37.22","57.3","111.17","72.11","41.56","75.29","303.62","13.37","20.01","27.93","3232.49","243.33","30.45","581.21","299.73","34.76","327.83","481.6","48.77","37.68","93.8","1694"
"15(1,B3)","Unknown18","1075.31","287.37","200.98","203.58","885.36","214.47","202.51","155.77","833.58","269.8","362.29","717.54","159.1","575.72","641.46","924.35","225.13","1545.34","2188.84","756.08","296.34","579.61","145.69","725.93","529.59","209.3","245.67","193.48","1789"
"16(1,B4)","Unknown26","439.63","173.94","284.88","787.26","1101.19","310.14","137.8","81.22","194.1","381.32","112.05","74.57","157.16","501.48","325.88","49.17","228.84","2987.06","1455.6","49.37","1686.64","819.12","93.75","51.13","585.12","70.98","78.81","233.81","1890"
"17(1,B5)","Unknown34","132.96","132.55","292.22","879.15","500.5","230.59","248.38","82.03","87.23","269.44","134.98","100.99","202.61","409.51","84.06","117.14","266.17","3271.83","58.41","120.94","1104.62","1092.43","70.98","130.39","919.72","83.09","70.71","56.31","1739"
"18(1,B6)","Unknown42","45.57","90.56","5314.92","423.64","1096.71","96.65","50.22","145.48","30.73","111.9","2477.38","216.95","177.78","678.94","21.29","66.42","463.07","2773.14","41.56","268.38","1635.83","1146.05","180.86","84.23","153.49","55.47","36.26","57.97","1818"
"25(1,C1)","Unknown3","1016.78","333.36","379.34","506.5","698.19","152.64","204.89","207.44","566.19","137.61","278.07","416.09","95.53","778.51","1017.69","811.64","221.4","2057.17","1640.05","719.99","929.3","622.43","211.55","799.91","417.8","139.76","220.75","155.99","1779"
"26(1,C2)","Unknown11","66.09","56.4","99.21","75.47","155.2","115.01","139.68","45.24","41.68","228.19","42.59","21.33","163.96","541.32","165.7","17.4","19.78","822.73","128.41","26.44","361.1","143.96","26.08","52.89","156.69","54.68","91.7","21.42","1841"
"27(1,C3)","Unknown19","20.01","90.68","176.52","137.16","773.58","155.84","254.59","34.37","19.33","273.68","29.51","23.65","110.57","57.55","30.88","17.38","12.92","1158.12","26.95","16.08","96.59","124.74","24.92","59.05","248.4","38.68","27.18","62.04","1837"
"28(1,C4)","Unknown27","691.87","98.06","203.63","373.33","1195.8","65.57","69.71","30.28","127.57","199.06","360.58","712.32","32.98","249.59","818.55","273.11","126.08","1591.79","249.85","324.26","2330.91","333.88","56.11","176.73","375.37","64.23","112.49","212.42","1830"
"29(1,C5)","Unknown35","199.02","91.01","152.73","147.32","538.19","67.03","118.42","26.61","72.82","219.37","35.77","75.16","88.6","389.21","450.28","27.93","70.48","879.11","17.91","17.9","1092.05","87.32","30.23","27.7","230.16","61.3","27.05","123.09","1711"
"30(1,C6)","Unknown43","116.37","121.13","427.35","950.78","1119.7","334.09","77.47","53.72","63.29","180.12","95.01","60.18","241.7","801.57","63.91","24.89","104.58","3499.56","84.88","14.99","336.91","430.79","54.57","55.03","1128.84","74.2","50.1","69.84","1819"
"37(1,D1)","Unknown4","121.11","101.8","851.95","557.1","732.66","526.71","199.95","86.87","49.39","308.06","99.13","112.86","147.56","350.76","15.41","38.76","68.84","3631.99","217.92","16.01","1252.41","555.08","186.18","31.28","553.09","155.53","45.21","1068.71","1689"
"38(1,D2)","Unknown12","231.9","380.04","456.1","212.19","1064.78","136.32","188.15","287.94","191.19","291.2","171.62","366.73","130.25","466.19","142.16","182.88","174.22","1037.34","2778.16","220.93","1391.66","166.92","213.57","261.49","259.65","174.52","123.2","322.68","1924"
"39(1,D3)","Unknown20","43.01","56.9","274.18","142.23","436.69","555.16","871.85","53.87","112.99","183.57","53.21","122.46","109.05","620.97","99.01","61.52","44.48","1226.49","38.59","120.76","348.95","362.26","66.96","110.44","687.47","175.2","42.64","74","1684"
"40(1,D4)","Unknown28","195.57","73.99","273.65","709.93","949.01","127.03","159.05","45.79","104.78","77.18","90.82","54.97","173.91","402.75","48.31","192.96","61.97","2880.55","32.14","260.64","519.42","1103.2","26.64","231.59","161.56","55.59","54.36","55.11","1782"
"41(1,D5)","Unknown36","430.29","86.91","939.49","176.57","1290.45","663.17","35.62","76.49","213.55","83.03","129.75","191.78","187.02","564.18","210.53","179.56","72.83","1056.51","219.83","173.23","784.23","426.69","231.37","467.82","355.87","40.32","132.57","281.16","1835"
"49(1,E1)","Unknown5","36.07","106.1","158.97","135.99","110.77","141.72","122.11","21.43","84.61","111.11","43.07","127.02","135.84","298.84","12.17","16.94","31.35","2839.01","36.95","142.68","393.48","230.18","20.32","25.37","35.28","31.63","31.52","31.89","1547"
"50(1,E2)","Unknown13","40.17","57.14","59.45","112.74","215.11","57.97","83.71","420.84","122.61","66.71","55.65","45.41","40.02","271.41","522.44","27.69","733.57","1748.38","26.14","18.43","1462.17","451.57","36.89","491.82","844.98","121.8","63.07","36.32","1637"
"51(1,E3)","Unknown21","37.34","34.88","140.55","204.22","527.35","94.05","213.42","182.23","36.99","394.62","51.56","26.46","52.03","162.77","31.38","12.02","82.43","1326.51","19.56","11.13","1363.25","727.81","39.64","30.95","71.67","130.38","74.25","38.36","1560"
"52(1,E4)","Unknown29","36.96","51.33","285.58","159.51","703.15","57.99","141.96","28.79","38.95","170.74","75.92","49.06","170.83","168.79","8.35","24.16","122.03","3443.24","42.22","74.14","582.12","282.17","44.09","29.46","659.74","94.24","27.93","154.12","1429"
"53(1,E5)","Unknown37","54.62","123.71","936.75","189.67","953.92","192.06","152.65","48.93","30.21","309.42","49.61","49.44","74.73","161.32","11.46","32.85","32.17","2923.14","45.1","34.5","285.28","1135.54","32.76","62.01","370.89","48.47","42.13","28.61","1756"
"61(1,F1)","Unknown6","38.59","48.22","638.78","287.99","240.04","134.19","243.01","294.27","27.72","260.78","51.53","55.66","60.22","193.78","10.8","10.34","138.95","1564.26","47.02","8.36","480","160.58","26.66","57.49","163.63","30.7","164.34","20.49","1604"
"62(1,F2)","Unknown14","1243.98","171.94","1058.51","926.83","929.3","287.08","60.09","125.84","478.17","116.11","1384.97","298.53","164.69","227.45","548.45","1095.94","229.86","2237.44","751.06","1252.4","1290.18","403.26","173.82","995.47","618.71","199.05","132.82","161.21","1913"
"63(1,F3)","Unknown22","3040.25","375.96","253.6","118.01","724.09","285.57","224.23","465.12","1787.11","362.8","1255.92","2700.45","2163.39","2350.38","2367.51","2567.62","194.79","1660.4","2488.8","3646.24","970.28","1210.94","1984.7","2407.06","75.65","347.82","1174.92","625.14","1457"
"64(1,F4)","SP","1745.27","1031.76","510.05","346.87","1005.19","1016.56","217.14","29.56","434.73","163.03","206.12","732.36","38.81","319.04","1572.79","1325.79","51.82","1994.42","80.25","1944.76","213.41","676.74","74.81","1711.51","144.4","53.29","195.29","313.51","1730"
"65(1,F5)","Unknown38","2228.61","317.72","1116.14","107.5","2436.34","136.49","193.94","502.25","1171.23","597","487.19","992.19","146.98","918.16","1134.75","2020.61","206.68","435.91","1462.36","1058.06","1288.54","364.41","191.84","1306.71","715.19","166.51","173.32","800.08","1622"
"73(1,G1)","Unknown7","62.81","96.14","389.82","388.87","216.72","744.23","231.73","50.56","150.48","255.27","94.02","70.58","72.66","454.2","17.22","18.73","205.48","1458.22","1466.39","38.28","971.51","314.86","91.38","56.81","415.33","42.97","152.46","469.81","1678"
"74(1,G2)","Unknown15","164.56","151.77","249.99","914.21","480.11","662.54","381.32","129.53","71","143.93","106.44","80.63","116.63","906.47","62.66","155.96","139.94","1938.14","32.65","35.89","1196.02","1155.92","67.42","55.56","401.45","74.6","55.32","52.66","1674"
"75(1,G3)","Unknown23","1068.61","385.49","1107.5","1219.23","1496.43","930.4","96.33","517.73","423.61","535.81","443.79","1200.86","202.53","703.12","800.13","831.32","113.85","2852.82","1935.89","689.32","685.54","620.1","155.79","695.14","561.05","197.1","167.1","530.34","1582"
"76(1,G4)","FD","2720.86","96.04","829.51","280.54","1239.92","1090.72","150.67","28.75","1244.3","466.74","1168.4","1464.3","44.72","197.39","2486.09","2128.39","171.89","2528.01","1388.2","2120.07","680.72","551.48","378.58","2130.21","419.88","634.3","1028.94","602.14","1648"
"77(1,G5)","Unknown39","26.48","68.71","105.9","77.17","429","109.07","166.98","72.8","29.57","259.46","728.51","1266.46","68.83","565.07","15.2","14.09","57.48","1099.9","279.65","13.46","884.26","526.16","28.72","60.64","694.74","32.89","30.66","27.17","1746"
"85(1,H1)","Unknown8","60.55","61.49","112.28","306.23","572.86","73.06","114.64","27.15","926.98","40.05","76.35","100.6","159.48","910.93","11.9","18.09","157.15","438.43","40.91","13.74","1072.88","343.77","47.65","56.02","583.08","35.78","63.64","24.54","1569"
"86(1,H2)","Unknown16","54.98","56.8","164.33","266.85","636.58","96.88","184.45","19.59","37.57","210.73","47.87","52.64","120.29","305.69","11.4","13.06","83.3","1557.38","28.47","6.78","651.01","691","22.6","34.77","193.34","30.84","78.33","47.97","1789"
"87(1,H3)","Unknown24","893.83","392.64","299.99","345.24","795.26","198.12","160.12","428.78","814.28","239.51","360.68","1157.91","173.48","250.45","788.33","876.76","681.95","2402.06","1249.12","853.38","467.35","702.89","118.11","840.93","137.62","130.11","518.16","163.96","1616"
"88(1,H4)","LG","3044.43","2766.89","252.77","126.5","892.65","77.03","91.69","56.16","1321.28","113.88","1420.95","2143.53","203.38","632.09","3019.52","1901.88","151.86","1899.47","47.19","3040.95","329.28","221.36","1070.71","1538.31","338.99","453.22","1728.95","537.85","1706"
"89(1,H5)","Unknown40","295.04","311.62","453.44","634.51","761.74","375.96","172.66","35.67","154.58","76.8","76.23","78.65","167.56","1453.65","110.64","2548.38","159.52","2441.19","42.61","313.42","516.06","640.63","78.47","344.29","536.04","100.26","1784.2","74.41","1714"

"DataType:","Trimmed Count"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"1(1,A1)","B","65","55","70","54","73","64","62","53","65","69","51","44","60","62","63","48","45","52","53","60","49","68","68","60","62","64","48","46","1817"
"2(1,A2)","S","42","41","66","66","74","63","64","34","66","69","50","57","58","80","45","64","50","54","50","49","53","58","55","63","60","57","51","53","1772"
"3(1,A3)","S","62","52","72","59","66","56","77","46","56","61","71","46","64","70","73","44","41","61","69","46","50","50","61","49","60","67","39","45","1797"
"4(1,A4)","S","59","47","73","65","50","44","59","54","58","68","62","63","64","62","66","52","41","58","70","63","42","51","70","62","53","52","60","48","1800"
"5(1,A5)","S","71","46","63","52","59","63","62","50","62","69","67","51","49","57","47","52","36","62","60","68","53","61","62","44","59","50","61","52","1766"
"6(1,A6)","S","53","55","67","58","55","52","54","61","64","77","52","61","60","61","50","61","36","57","67","49","49","62","64","69","46","63","63","44","1794"
"7(1,A7)","S","78","52","80","62","74","63","70","59","78","82","59","52","64","58","64","54","39","60","54","65","57","60","68","66","55","75","57","60","1957"
"8(1,A8)","S","72","44","63","69","64","41","58","55","59","79","58","62","67","57","68","52","34","58","66","47","57","54","71","55","61","81","61","53","1848"
"9(1,A9)","S","66","58","70","53","74","48","63","52","55","59","62","66","51","58","58","53","45","44","62","52","59","48","54","52","67","61","53","47","1766"
"10(1,A10)","S","53","58","84","63","43","56","61","54","62","60","64","63","57","47","50","42","49","59","60","55","49","56","58","45","61","45","52","45","1717"
"11(1,A11)","S","55","41","63","69","61","42","63","54","63","68","57","63","75","72","59","44","39","66","63","58","63","61","57","59","65","55","57","49","1821"
"12(1,A12)","S","60","58","69","53","59","48","63","65","58","72","61","68","53","59","63","53","45","34","80","58","40","58","57","64","47","65","50","63","1805"
"13(1,B1)","Unknown2","56","54","80","66","60","41","61","63","73","73","67","58","58","57","62","60","42","54","67","62","58","74","61","59","50","56","51","48","1853"
"14(1,B2)","Unknown10","66","52","69","59","49","44","61","46","53","52","66","49","62","65","58","49","37","55","65","49","39","58","56","51","57","66","44","45","1694"
"15(1,B3)","Unknown18","63","63","67","44","54","54","58","51","49","97","58","68","62","62","52","53","44","51","59","54","49","63","53","52","49","65","62","47","1789"
"16(1,B4)","Unknown26","62","62","81","63","69","62","63","64","48","73","61","63","63","62","49","55","53","53","63","56","47","63","75","60","58","75","50","45","1890"
"17(1,B5)","Unknown34","52","48","69","63","50","52","46","55","54","54","55","61","52","62","53","54","39","70","75","50","58","62","65","50","64","53","48","47","1739"
"18(1,B6)","Unknown42","60","52","74","62","60","51","55","57","62","63","67","60","62","64","53","50","46","44","61","61","55","70","59","64","58","64","46","56","1818"
"25(1,C1)","Unknown3","57","46","66","50","52","54","67","54","68","66","57","64","59","73","51","46","36","51","69","66","39","64","67","62","54","55","54","46","1779"
"26(1,C2)","Unknown11","68","45","71","63","71","50","47","51","60","78","74","62","56","53","61","49","35","47","74","61","61","60","76","67","65","47","52","51","1841"
"27(1,C3)","Unknown19","65","60","67","61","68","58","53","59","69","63","69","45","57","69","63","45","31","58","56","63","49","60","70","59","63","58","56","61","1837"
"28(1,C4)","Unknown27","62","55","63","70","62","50","54","58","70","67","67","52","62","57","47","56","48","57","67","56","51","63","67","58","50","63","63","45","1830"
"29(1,C5)","Unknown35","57","44","78","62","60","62","65","63","65","57","42","50","50","58","54","42","44","52","63","51","42","56","54","66","56","65","46","37","1711"
"30(1,C6)","Unknown43","68","54","63","57","64","57","56","49","60","63","55","49","60","62","59","48","46","56","74","63","51","66","60","50","68","59","54","64","1819"
"37(1,D1)","Unknown4","56","58","62","52","62","54","50","55","52","45","58","63","71","71","45","43","35","50","68","44","46","61","56","40","46","69","48","57","1689"
"38(1,D2)","Unknown12","53","49","67","59","59","60","70","56","63","72","63","76","66","63","52","62","45","51","78","58","61","77","48","69","63","74","63","55","1924"
"39(1,D3)","Unknown20","44","50","63","63","63","42","59","44","45","72","53","54","60","48","53","59","31","70","63","49","52","62","54","43","61","53","53","53","1684"
"40(1,D4)","Unknown28","57","52","47","60","63","50","61","62","65","55","69","55","70","59","64","43","44","46","57","46","58","67","59","63","63","70","53","48","1782"
"41(1,D5)","Unknown36","57","58","63","59","54","54","63","49","69","63","50","63","56","72","57","47","32","56","73","62","61","62","61","62","63","63","56","62","1835"
"49(1,E1)","Unknown5","59","45","52","45","45","47","58","52","46","61","58","62","47","48","52","50","43","53","45","48","52","45","48","44","45","48","40","51","1547"
"50(1,E2)","Unknown13","44","44","66","44","55","45","56","58","51","52","55","71","60","54","47","47","61","46","50","45","56","57","49","53","56","62","42","45","1637"
"51(1,E3)","Unknown21","58","40","60","62","39","52","63","51","50","53","51","54","47","60","54","40","43","43","51","46","46","46","50","55","41","45","54","46","1560"
"52(1,E4)","Unknown29","47","37","58","54","38","42","48","51","44","51","49","44","57","48","44","45","26","37","62","50","31","44","55","44","48","54","32","41","1429"
"53(1,E5)","Unknown37","51","43","76","57","73","46","54","48","57","62","49","53","54","62","48","50","44","51","80","60","58","52","68","55","63","65","48","51","1756"
"61(1,F1)","Unknown6","42","41","55","45","53","54","55","45","56","61","53","58","61","54","58","38","41","51","58","53","44","59","56","50","54","56","53","44","1604"
"62(1,F2)","Unknown14","56","61","68","67","68","63","57","54","69","59","59","54","62","74","64","55","38","59","75","76","44","64","61","73","63","58","61","63","1913"
"63(1,F3)","Unknown22","53","45","51","49","46","43","47","39","39","54","37","53","52","45","72","34","42","50","50","31","34","50","47","53","47","49","45","48","1457"
"64(1,F4)","SP","59","52","63","60","60","53","61","41","47","58","54","56","62","63","43","57","44","51","63","50","46","78","72","74","51","45","57","44","1730"
"65(1,F5)","Unknown38","53","41","68","46","53","48","59","46","58","62","53","66","45","55","52","44","42","48","62","36","45","51","47","51","62","51","56","56","1622"
"73(1,G1)","Unknown7","60","47","66","56","62","56","62","54","47","66","57","47","56","63","60","43","40","50","53","61","44","62","66","52","44","50","46","40","1678"
"74(1,G2)","Unknown15","46","44","63","53","57","45","48","56","50","60","49","62","64","55","60","56","45","44","54","61","53","62","62","41","53","57","54","50","1674"
"75(1,G3)","Unknown23","58","54","58","58","46","54","47","47","45","58","57","59","44","52","46","44","34","49","74","54","50","49","46","61","45","44","45","44","1582"
"76(1,G4)","FD","46","39","60","56","58","53","53","57","43","67","68","49","50","59","65","46","26","40","64","62","48","60","57","63","46","54","54","41","1648"
"77(1,G5)","Unknown39","43","48","76","58","57","44","63","63","53","65","59","47","49","65","49","63","52","53","62","45","49","55","73","60","52","61","51","53","1746"
"85(1,H1)","Unknown8","54","47","56","56","47","52","45","49","38","58","45","57","53","55","47","45","55","52","48","50","45","50","62","47","55","55","38","48","1569"
"86(1,H2)","Unknown16","62","52","67","62","59","51","51","79","52","59","48","70","59","55","66","44","59","62","58","45","48","68","50","46","64","74","46","47","1789"
"87(1,H3)","Unknown24","56","43","76","59","47","42","57","44","47","72","44","58","57","55","53","43","42","42","53","54","46","45","47","54","59","54","58","51","1616"
"88(1,H4)","LG","72","47","64","44","44","44","60","49","44","53","53","62","56","46","76","59","31","78","51","50","52","63","60","65","60","52","45","56","1706"
"89(1,H5)","Unknown40","64","36","60","70","62","55","47","56","46","61","53","63","52","71","54","48","45","50","55","56","49","54","62","65","44","56","56","50","1714"

"DataType:","Trimmed Mean"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"1(1,A1)","B","19.35","22.8","26.06","22.83","24.95","22.08","21.65","30.42","23.31","30.65","25.49","28","27.15","21.31","19.75","30.08","20.02","20.65","22.21","30.23","26.18","28.09","21.6","47.37","29.58","25.95","21.02","32.7","1817"
"2(1,A2)","S","13113.05","1891.27","6704.08","6280.82","13287.09","3665.54","1862.81","1305.21","6113.61","3292.99","4941.24","8629.72","1921.72","4901.18","10914.71","13568.25","1343.2","17605.52","13513.48","13337.12","4041.85","5883.69","1887.42","12206.38","6242.87","1098.4","2663.86","2822.49","1772"
"3(1,A3)","S","9539.15","1270.69","4047.07","3585.81","9481.89","2106.82","1366.05","746.11","3631.93","2448.79","3036.01","6027.78","1107.44","2638.33","7573.96","9316.07","827.29","13381.11","13112.46","9154.52","2359.88","3399.24","1195.8","8625.88","3629.87","706.96","1595.74","1781.8","1797"
"4(1,A4)","S","6988.49","835.83","2417.64","2623.14","6973.14","1514.23","1073.31","475.61","2460.34","1985.01","2119.05","4803.17","661.59","1753.87","5615.91","7741.1","532.15","11480.95","11034.66","7323.57","1887.64","2455.78","830.53","6996.69","2347.08","503.17","1102.25","1253.44","1800"
"5(1,A5)","S","3663.61","402.59","1180.1","1126.38","3572.08","709.52","646.45","211.58","1277.37","1237.78","1030","2183.8","325.22","801.89","2435.43","3547.96","293.75","6413.56","5638.32","3160.56","886.23","1168.2","397.6","3502.64","1070.27","267.96","519.15","641.67","1766"
"6(1,A6)","S","2412.23","244.98","764.84","791.03","2303.53","485.67","446.67","146.82","843.56","919.42","651.6","1578","203.17","515.75","1618.28","2335.72","174.17","4393.98","4110.46","2109.82","579.8","768.77","246.92","2489.86","667.13","172.32","336.76","397.41","1794"
"7(1,A7)","S","1193.09","133.29","396.91","368.24","1250.8","259.32","252.8","85.22","393.86","496","317.76","695","116.59","265.59","773.53","1195.78","115.18","2210.85","1830.8","1129.95","351.65","393.83","128.53","1343.85","336.44","99.48","169.28","209.48","1957"
"8(1,A8)","S","640.13","78.59","208.37","193.96","666.52","136.37","147.78","59.13","232.83","272.24","157.45","356.5","71.19","143.88","412.81","643.04","63.5","1206.31","929.79","545.94","185.91","214.28","75.51","769.85","182.25","59.77","93.66","123.72","1848"
"9(1,A9)","S","353.32","54.1","120.24","112.98","375.93","83.35","87.71","48.6","122.04","156.17","95.15","185.23","48.55","77.55","226.1","351.53","43.64","633.59","518.68","300.71","116.71","124.42","51.94","419.52","106.22","44.39","56.68","81.06","1766"
"10(1,A10)","S","210.25","37.84","74.69","68.7","206.77","55.18","56.33","40.22","78.08","101.35","60.19","117.89","40.39","50.09","128.18","208.4","31.96","350.73","280.32","176.84","70.27","80.39","38.28","253.51","70.49","34.96","41.1","62.96","1717"
"11(1,A11)","S","115.93","35.8","55.57","50.72","126.02","44.21","42.7","38.43","59.98","71.15","48.49","83.14","34.95","42.18","83.31","123.86","31.1","203.2","168.87","113.78","53.4","61.67","35.42","161.54","55.78","34.95","34.21","54.49","1821"
"12(1,A12)","S","46.28","25.22","33.62","26.17","51.29","25.48","26.13","32.26","29.81","41.17","28.64","41.24","26.91","25.15","37.38","53.81","22","71.68","59.06","50.45","30.33","35.41","22.04","72.48","32.91","26.09","25.06","38.21","1805"
"13(1,B1)","Unknown2","4700.27","374.15","1289.75","672.53","6258.77","375.05","493.44","149.52","1697.29","669.89","1272.43","2817.22","813.02","1957.26","2411.37","3884.23","381.36","7448.24","1901.21","3187.69","1354.02","1499.31","691.33","3949.98","4282.82","291.68","995.78","530.27","1853"
"14(1,B2)","Unknown10","203.08","799.52","1514.14","2060.31","4351.92","809.77","484.62","177.04","123.08","730.79","154.76","171.69","640.27","2699.78","41.84","69.88","171.3","14524.11","140.91","139.71","1094.18","1514.02","158.82","202.47","4279.21","184.73","172.16","140.02","1694"
"15(1,B3)","Unknown18","4080.6","979.73","1643","882.84","5646.35","1067.7","968.66","403.22","1767.12","1714.39","1595.97","2839.03","704.84","2182.65","2903.96","4862.7","506.95","7824.1","8388.34","3868.76","1192.98","4905.1","812.34","3827.23","3617.29","641.98","1097.52","890.53","1789"
"16(1,B4)","Unknown26","341.26","556.85","2135.95","3841.41","5479.88","1890.06","606.08","185.94","185.02","2008.75","260.41","341.48","1491.75","4985.61","46.92","67.16","369.17","13966.36","202.51","61","3039.91","6410.27","258.39","143.52","3650.86","279.57","273.72","187.69","1890"
"17(1,B5)","Unknown34","773.33","635.83","1816.25","4219.24","3212.62","980.29","1342.5","319.69","301.89","2720.41","295.71","317.03","1391.06","1511.81","132.42","675.74","793.79","18102.54","328.89","796","1895.55","7639.05","275.14","968.42","4812.83","313.51","313.58","245.15","1739"
